session,state,metric,median_delta_pps,median_surrogate_iqr,median_surrogate_sd,rejection_fraction,fraction_delta_positive,fraction_delta_negative,fraction_delta_zero,n_valid_windows
9,Awake,TT,-0.08141975670178958,0.03448016897677597,0.0267100130027811,0.9148936170212766,0.02127659574468085,0.9787234042553191,0.0,47
9,Drowsy,CC,0.19395049357807076,0.06026924688927393,0.0475310212450161,0.8888888888888888,1.0,0.0,0.0,18
9,Drowsy,DET,0.1961654748764218,0.023767816864231878,0.01802670602158475,1.0,1.0,0.0,0.0,18
9,Drowsy,LAM,-0.09234774679656377,0.037763353649757636,0.03032424644110005,0.7777777777777778,0.05555555555555555,0.9444444444444444,0.0,18
9,Drowsy,Lmean,1.0003179068127523,0.09934553710646199,0.0798815049156917,1.0,1.0,0.0,0.0,18
9,Drowsy,NRMSE,-0.18808764043733028,0.033489894733502334,0.027061536407354002,1.0,0.0,1.0,0.0,18
9,Drowsy,TT,-0.08232150576940822,0.026077922429151856,0.0225979914022786,0.9444444444444444,0.0,1.0,0.0,18
10,Awake,CC,0.06403221874419407,0.048077187542503674,0.0408837263523656,0.3333333333333333,0.9629629629629629,0.037037037037037035,0.0,27
10,Awake,DET,0.18543936267216976,0.02226808081777598,0.0170077896326597,1.0,1.0,0.0,0.0,27
10,Awake,LAM,-0.1227144022652013,0.03265825214762208,0.0254008077413747,0.8518518518518519,0.0,1.0,0.0,27
10,Awake,Lmean,1.2597575605987288,0.13333911538568932,0.0963677498674492,1.0,1.0,0.0,0.0,27
10,Awake,NRMSE,-0.09677512036460878,0.03908815798771903,0.0307008420057698,0.6296296296296297,0.0,1.0,0.0,27
10,Awake,TT,-0.11743438705671894,0.028741052017487778,0.0240407317486624,1.0,0.0,1.0,0.0,27
10,Drowsy,CC,0.09712720859615764,0.06752533355482904,0.0470000394855181,0.5555555555555556,1.0,0.0,0.0,9
10,Drowsy,DET,0.17459327158420113,0.022172097710802974,0.0165115315082662,1.0,1.0,0.0,0.0,9
10,Drowsy,LAM,-0.12756154916734652,0.03600566300331143,0.026210464927526,1.0,0.0,1.0,0.0,9
10,Drowsy,Lmean,1.2218147224584515,0.0931953758618338,0.079076431688312,1.0,1.0,0.0,0.0,9
10,Drowsy,NRMSE,-0.1479320096463036,0.03773530264553515,0.0273078527295822,0.8888888888888888,0.0,1.0,0.0,9
10,Drowsy,TT,-0.11835808766403177,0.0292975150061352,0.024584650755654,1.0,0.0,1.0,0.0,9
11,Awake,CC,0.053276255687278895,0.05510185643676946,0.04411491050919365,0.3,1.0,0.0,0.0,20
11,Awake,DET,0.17248164323079135,0.02182415894802514,0.0178148468512414,1.0,1.0,0.0,0.0,20
11,Awake,LAM,-0.1167994432979795,0.029952728319815686,0.0238731289857179,0.95,0.0,1.0,0.0,20
11,Awake,Lmean,1.1751714711445853,0.10691798381800144,0.07931600266519806,1.0,1.0,0.0,0.0,20
11,Awake,NRMSE,-0.09822294455814895,0.032799192738892924,0.02747862850244355,0.85,0.0,1.0,0.0,20
11,Awake,TT,-0.13023700508734226,0.03236813583656062,0.0257839029019468,1.0,0.0,1.0,0.0,20
11,Drowsy,CC,0.10135832567895375,0.06682047675462088,0.05027809247705795,0.3333333333333333,1.0,0.0,0.0,18
11,Drowsy,DET,0.16957815424485298,0.02299995200844651,0.017975649551899252,1.0,1.0,0.0,0.0,18
11,Drowsy,LAM,-0.12868935067428133,0.035453760138215634,0.0270005902237406,0.9444444444444444,0.0,1.0,0.0,18
11,Drowsy,Lmean,1.1632385593706829,0.10380375128264352,0.07740360449100855,1.0,1.0,0.0,0.0,18
11,Drowsy,NRMSE,-0.11769145269587783,0.037425142019282764,0.028339650220817303,0.8888888888888888,0.0,1.0,0.0,18
11,Drowsy,TT,-0.131032554719551,0.040213181499241246,0.02746115463071245,1.0,0.0,1.0,0.0,18
12,Awake,CC,0.1604672707373382,0.06284592484566062,0.04568203981417095,1.0,1.0,0.0,0.0,20
12,Awake,DET,0.1898068050749712,0.02543492887351015,0.020362507713535198,1.0,1.0,0.0,0.0,20
12,Awake,LAM,-0.11612120338331411,0.0365003844675125,0.0273174038728915,0.8,0.0,1.0,0.0,20
12,Awake,Lmean,0.9100121241003765,0.105833295680265,0.08024054033234404,1.0,1.0,0.0,0.0,20
12,Awake,NRMSE,-0.19559870715640054,0.03317196132063649,0.0266468384346163,1.0,0.0,1.0,0.0,20
12,Awake,TT,-0.05889474905602765,0.02685639503497339,0.020777096024931697,0.95,0.05,0.95,0.0,20
12,Drowsy,CC,0.1873351779603799,0.061394196529442835,0.0468231819286031,0.8571428571428571,1.0,0.0,0.0,35
12,Drowsy,DET,0.20328719723183392,0.02720107650903497,0.0196689336680539,1.0,1.0,0.0,0.0,35
12,Drowsy,LAM,-0.14331026528258373,0.035395040369088915,0.0257639208498342,0.9142857142857143,0.0,1.0,0.0,35
12,Drowsy,Lmean,1.030728325227395,0.09928173946412056,0.0746548105050742,1.0,1.0,0.0,0.0,35
12,Drowsy,NRMSE,-0.19435536700397027,0.03241257230463357,0.0240195457454413,0.9714285714285714,0.0,1.0,0.0,35
12,Drowsy,TT,-0.09316401085638626,0.027006553932352517,0.0212051523852631,1.0,0.0,1.0,0.0,35
13,Awake,CC,0.1057398110166009,0.06418594429124214,0.0463485200646084,0.56,1.0,0.0,0.0,25
13,Awake,DET,0.16849834429140476,0.023587848538657252,0.0177249545685271,1.0,1.0,0.0,0.0,25
13,Awake,LAM,-0.07930604213658393,0.03772136104045676,0.0288279136841786,0.72,0.04,0.96,0.0,25
13,Awake,Lmean,1.209598366970274,0.10791770996969241,0.0797265307048612,1.0,1.0,0.0,0.0,25
13,Awake,NRMSE,-0.12855355929884038,0.03536629865198371,0.0283243994006541,0.84,0.0,1.0,0.0,25
13,Awake,TT,-0.14050670761706074,0.04659839887910744,0.0345900222651693,1.0,0.0,1.0,0.0,25
13,Drowsy,CC,0.14670668529005781,0.06012589278853642,0.0456367933149477,0.6521739130434783,1.0,0.0,0.0,23
13,Drowsy,DET,0.16499496088688392,0.02495560781302497,0.0189313987363683,1.0,1.0,0.0,0.0,23
13,Drowsy,LAM,-0.09912655372654422,0.0380812976916064,0.0307190574940061,0.8260869565217391,0.0,1.0,0.0,23
13,Drowsy,Lmean,1.205271975025695,0.1102051298884752,0.0780384046047686,1.0,1.0,0.0,0.0,23
13,Drowsy,NRMSE,-0.13683442185469608,0.03456726371938723,0.0273518014490705,0.8260869565217391,0.0,1.0,0.0,23
13,Drowsy,TT,-0.11933710094123295,0.04518874585006882,0.0368493157134816,0.9130434782608695,0.0,1.0,0.0,23
14,Awake,CC,0.12581265712644318,0.06425648753100982,0.0465965052392072,0.7741935483870968,1.0,0.0,0.0,31
14,Awake,DET,0.19330997744396983,0.02562748956183719,0.0184524015108452,1.0,1.0,0.0,0.0,31
14,Awake,LAM,-0.14999760042232568,0.03708547295675957,0.0283587938340877,0.967741935483871,0.0,1.0,0.0,31
14,Awake,Lmean,1.2418413448226682,0.0956950495199842,0.070315991099757,1.0,1.0,0.0,0.0,31
14,Awake,NRMSE,-0.15377098346495888,0.0348462887619011,0.0274531213979335,0.9032258064516129,0.0,1.0,0.0,31
14,Awake,TT,-0.09272050255053133,0.02769813544187727,0.0215168102310916,1.0,0.0,1.0,0.0,31
14,Drowsy,CC,0.24793665060016506,0.05841637774321978,0.043519169982816,0.9411764705882353,1.0,0.0,0.0,17
14,Drowsy,DET,0.21696981331285692,0.03169842107789028,0.0228317859240366,1.0,1.0,0.0,0.0,17
14,Drowsy,LAM,-0.09643902673129529,0.03658156164515047,0.0248467027953706,0.7647058823529411,0.058823529411764705,0.9411764705882353,0.0,17
14,Drowsy,Lmean,1.279681986976135,0.10093623555749565,0.0852092843546703,1.0,1.0,0.0,0.0,17
14,Drowsy,NRMSE,-0.1917431246235548,0.025571314681293034,0.0205524232769025,1.0,0.0,1.0,0.0,17
14,Drowsy,TT,-0.12564546448294145,0.038561122067352294,0.0298033848010959,1.0,0.0,1.0,0.0,17
15,Awake,CC,0.11232911969464496,0.06618706796449017,0.05004338687309675,0.5357142857142857,1.0,0.0,0.0,28
15,Awake,DET,0.18570331621634595,0.02527955079905947,0.020131477475587252,1.0,1.0,0.0,0.0,28
15,Awake,LAM,-0.14521044296203872,0.0419206219705332,0.0326228699306505,0.9642857142857143,0.0,1.0,0.0,28
15,Awake,Lmean,1.1972865069738305,0.103598957428368,0.0799481497259554,1.0,1.0,0.0,0.0,28
15,Awake,NRMSE,-0.12664690739703005,0.04013663923112215,0.03019981481791405,0.9285714285714286,0.0,1.0,0.0,28
15,Awake,TT,-0.0896205973939257,0.032908810969787705,0.0247820550210264,1.0,0.0,1.0,0.0,28
15,Drowsy,CC,0.11913722135885993,0.07061165180744458,0.05870015764790115,0.6666666666666666,1.0,0.0,0.0,6
15,Drowsy,DET,0.1874550079186064,0.026995248836204883,0.019898864191145497,1.0,1.0,0.0,0.0,6
15,Drowsy,LAM,-0.1269496568603926,0.05457239525843452,0.0349726999613455,0.6666666666666666,0.0,1.0,0.0,6
15,Drowsy,Lmean,1.1740160798174566,0.09365978591871804,0.08084733756038265,1.0,1.0,0.0,0.0,6
15,Drowsy,NRMSE,-0.12504863239896874,0.04438473264902615,0.03106551253031905,1.0,0.0,1.0,0.0,6
15,Drowsy,TT,-0.08978904993753045,0.041859757556493626,0.0488433619658273,0.6666666666666666,0.0,1.0,0.0,6
17,Awake,CC,0.10975041452063317,0.0668723410787318,0.0477769317902982,0.6071428571428571,1.0,0.0,0.0,28
17,Awake,DET,0.15765225320343623,0.023647837980515424,0.01804587409163505,1.0,1.0,0.0,0.0,28
17,Awake,LAM,-0.10932475884244369,0.03619762921725772,0.02766768244325355,0.7857142857142857,0.03571428571428571,0.9642857142857143,0.0,28
17,Awake,Lmean,1.1420306036580632,0.09755945139696909,0.0819803357420083,0.9642857142857143,1.0,0.0,0.0,28
17,Awake,NRMSE,-0.1207219055582231,0.03955411479517007,0.027670740955520752,0.8928571428571429,0.0,1.0,0.0,28
17,Awake,TT,-0.1411433214465463,0.04304990083733484,0.03519034820831605,0.8928571428571429,0.0,1.0,0.0,28
17,Drowsy,CC,0.11142541262004355,0.05946173457494369,0.0455701675249415,0.5714285714285714,1.0,0.0,0.0,14
17,Drowsy,DET,0.14819791716657865,0.022112108268944664,0.01786172034120825,1.0,1.0,0.0,0.0,14
17,Drowsy,LAM,-0.12461006862792154,0.0371514613428037,0.02864072772134615,0.7857142857142857,0.0,1.0,0.0,14
17,Drowsy,Lmean,1.1444276433583611,0.09642157261623008,0.0813226480130109,1.0,1.0,0.0,0.0,14
17,Drowsy,NRMSE,-0.13580444558763094,0.04172290566204434,0.030465425400216,1.0,0.0,1.0,0.0,14
17,Drowsy,TT,-0.106501989423744,0.03604955010471356,0.02847012266991425,0.9285714285714286,0.0,1.0,0.0,14
18,Awake,CC,0.19464467388996698,0.05954664763298767,0.0468981641962539,0.7894736842105263,1.0,0.0,0.0,19
18,Awake,DET,0.2323751019820512,0.027403177040840887,0.0195497172294842,1.0,1.0,0.0,0.0,19
18,Awake,LAM,-0.1258098574650861,0.03494984882660651,0.0287040649290855,1.0,0.0,1.0,0.0,19
18,Awake,Lmean,1.0495097254256365,0.09703610944477159,0.0722985135233789,1.0,1.0,0.0,0.0,19
18,Awake,NRMSE,-0.20625241839309627,0.03217806090636577,0.028056002122675,1.0,0.0,1.0,0.0,19
18,Awake,TT,-0.07341775489770797,0.02373156451087821,0.0183200502511604,0.9473684210526315,0.0,1.0,0.0,19
18,Drowsy,CC,0.22271076876568902,0.06389987382987167,0.0477908915024909,0.9523809523809523,1.0,0.0,0.0,21
18,Drowsy,DET,0.22162499400105584,0.024835628929308406,0.0197740765582909,1.0,1.0,0.0,0.0,21
18,Drowsy,LAM,-0.13955943753899308,0.035177808705667835,0.0265962588147622,0.9523809523809523,0.0,1.0,0.0,21
