config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,theiler_multiplier,w_samples,w_seconds,target_rr,achieved_rr,rr_error,rr_exact,epsilon,zero_distance_fraction,DET,LAM,TT,n_diagonal_lines,n_vertical_lines,valid,qc_reason
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,25,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,693.1451360369348,0.0,0.6438549275919518,0.3692970652313213,2.0137141858839973,5248,11448,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,26,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,468.79541868854983,0.0,0.6271626297577855,0.04402153018069973,2.0,1993,458,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,26,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,583.4672597845829,0.0,0.6652249134948097,0.16027489427143407,2.007222389407162,3755,3323,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,26,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,668.6647548591933,0.0,0.683679354094579,0.2705850313981802,2.0250569476082005,5613,8341,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,27,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,579.2939631291681,0.0,0.5312379853902345,0.14926951172625913,2.0012886597938144,1606,1552,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,27,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,690.164334784104,0.0,0.5755959246443676,0.29039311803152634,2.029046339825386,3494,5956,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,27,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,771.7700406306101,0.0,0.6009227220299884,0.3976835832372165,2.0642773989689007,5289,12026,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,28,Awake,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,552.4725911732546,0.0,0.5487312572087658,0.18223760092272204,2.0021119324181624,1697,1894,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,28,Awake,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,675.0179840836786,0.0,0.5769896193771626,0.3546472510572857,2.0256656601701892,3313,7286,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,28,Awake,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,766.6693173850675,0.0,0.5937139561707035,0.4704600794566193,2.075183719615602,4923,14152,True,ok
