session,window_id,window_size_s,label,representation,dimension,fnn_percent,valid_count
sample_1.csv,19,60,Drowsy,Raw,6,0.20408163265306123,2940
sample_1.csv,19,60,Drowsy,Raw,7,0.13651877133105803,2930
sample_1.csv,19,60,Drowsy,Raw,8,0.0,2920
sample_1.csv,19,60,Drowsy,Raw,9,0.0,2910
sample_1.csv,19,60,Drowsy,Raw,10,0.0,2900
sample_1.csv,21,60,Drowsy,Raw,1,90.53511705685618,2990
sample_1.csv,21,60,Drowsy,Raw,2,37.04697986577181,2980
sample_1.csv,21,60,Drowsy,Raw,3,12.087542087542086,2970
sample_1.csv,21,60,Drowsy,Raw,4,2.837837837837838,2960
sample_1.csv,21,60,Drowsy,Raw,5,0.8135593220338984,2950
sample_1.csv,21,60,Drowsy,Raw,6,0.27210884353741494,2940
sample_1.csv,21,60,Drowsy,Raw,7,0.0,2930
sample_1.csv,21,60,Drowsy,Raw,8,0.0,2920
sample_1.csv,21,60,Drowsy,Raw,9,0.0,2910
sample_1.csv,21,60,Drowsy,Raw,10,0.0,2900
sample_1.csv,1,60,Awake,Processed,1,97.4933155080214,2992
sample_1.csv,1,60,Awake,Processed,2,37.70107238605898,2984
sample_1.csv,1,60,Awake,Processed,3,8.501344086021504,2976
sample_1.csv,1,60,Awake,Processed,4,2.055256064690027,2968
sample_1.csv,1,60,Awake,Processed,5,0.33783783783783783,2960
sample_1.csv,1,60,Awake,Processed,6,0.27100271002710025,2952
sample_1.csv,1,60,Awake,Processed,7,0.10190217391304347,2944
sample_1.csv,1,60,Awake,Processed,8,0.06811989100817438,2936
sample_1.csv,1,60,Awake,Processed,9,0.23907103825136614,2928
sample_1.csv,1,60,Awake,Processed,10,0.547945205479452,2920
sample_1.csv,2,60,Awake,Processed,1,96.55748663101605,2992
sample_1.csv,2,60,Awake,Processed,2,36.22654155495979,2984
sample_1.csv,2,60,Awake,Processed,3,8.131720430107526,2976
sample_1.csv,2,60,Awake,Processed,4,3.8746630727762805,2968
sample_1.csv,2,60,Awake,Processed,5,1.2837837837837838,2960
sample_1.csv,2,60,Awake,Processed,6,0.6775067750677507,2952
sample_1.csv,2,60,Awake,Processed,7,0.6793478260869565,2944
sample_1.csv,2,60,Awake,Processed,8,0.4087193460490463,2936
sample_1.csv,2,60,Awake,Processed,9,0.3756830601092896,2928
