schema_version,analysis_id,session_id,session,source_file,representation,window_uid,window_size_s,window_id,source_row_index,state,label_code,start_time_s,end_time_s,sampling_rate_hz,n_samples,stationarity_score_processed,stationarity_pass_processed,symbolic_n_levels,symbolic_word_length,peak_min_distance_s,peak_prominence_fraction,ppi_min_s,ppi_max_s,abrupt_change_threshold,min_peak_coverage_pct,prominence_threshold,min_required_intervals,n_peaks,peak_coverage_pct,n_intervals,n_words,mean_hr_bpm,median_hr_bpm,mean_ppi_ms,median_ppi_ms,sd_ppi_ms,min_ppi_ms,max_ppi_ms,ppi_cv,n_invalid_ppi,invalid_ppi_pct,n_abrupt_gt_20pct,abrupt_gt_20pct,ppi_qc_pass,pct_0v,pct_1v,pct_2lv,pct_2uv,pct_2v,symbolic_invariants_pass,symbolic_valid,analysis_included,failure_stage,invalid_reason
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w022,60,22,21,Drowsy,1,1376.579942,1436.740119,24.9893795136852,1499,0.10536895562146077,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,472.5122256751128,28,90,98.30843000008447,89,87,90.94129899429217,88.19781004830071,662.7534606747269,680.2890000005846,44.72208236486947,560.2380000004814,800.3400000006877,0.06747921364203732,0,0.0,0,0.0,True,24.137931034482758,56.32183908045977,2.2988505747126435,17.241379310344826,19.54022988505747,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w023,60,23,22,Drowsy,1,1485.659535,1545.810361,24.9893795136852,1499,0.07120254658649088,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,460.0376073628122,28,93,98.57521000008471,92,90,93.55305751228418,93.7101731763195,642.8818043483785,640.2720000005502,31.83961826739748,600.2550000005158,720.306000000619,0.04952639513521454,0,0.0,0,0.0,True,32.22222222222222,43.333333333333336,6.666666666666667,17.77777777777778,24.444444444444446,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w024,60,24,23,Drowsy,1,1545.850202,1606.009575,24.9893795136852,1499,0.10861889427738429,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,485.6709353706907,28,90,98.90868500008499,89,87,90.48188106988329,88.19781004830071,666.8001235960785,680.2890000005846,49.727104277200965,560.2380000004814,800.3400000006877,0.07457572744441136,0,0.0,0,0.0,True,25.287356321839077,43.678160919540225,8.045977011494251,22.988505747126435,31.034482758620687,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w025,60,25,24,Drowsy,1,1606.050028,1666.209636,24.9893795136852,1499,0.036454173414823904,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,503.8235442797721,28,92,98.77529500008488,91,89,92.6140465469908,93.7101731763195,651.2656813192409,640.2720000005502,46.99643535254088,560.2380000004814,720.306000000619,0.07216169483603407,0,0.0,0,0.0,True,17.97752808988764,43.82022471910113,7.865168539325843,30.337078651685395,38.20224719101124,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w026,60,26,25,Drowsy,1,1666.249782,1726.409684,24.9893795136852,1499,0.22666674036944756,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,487.30054273719634,28,99,99.10877000008516,98,96,99.19075137927231,99.9575180547408,606.7883877556235,600.2550000005158,34.32974066668541,560.2380000004814,720.306000000619,0.056576133227703246,0,0.0,0,0.0,True,25.0,45.833333333333336,3.125,26.041666666666668,29.166666666666668,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w027,60,27,26,Drowsy,1,1726.449579,1786.600003,24.9893795136852,1499,0.17192843960164964,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,490.01639345665467,28,96,98.17504000008437,95,93,97.18370231320338,99.9575180547408,620.0528842110591,600.2550000005158,40.806856190720744,520.221000000447,720.306000000619,0.06581189642016172,0,0.0,0,0.0,True,12.903225806451612,45.16129032258064,8.602150537634408,33.33333333333333,41.93548387096774,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w028,60,28,27,Awake,0,1828.049457,1888.199554,24.9893795136852,1499,0.08072369013025826,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,463.2118950619304,28,92,98.57521000008471,91,89,93.50692442213123,93.7101731763195,649.9464395609981,640.2720000005502,89.54844540692038,520.221000000447,1320.5610000011347,0.13777819210365283,0,0.0,2,2.2222222222222223,True,61.79775280898877,28.08988764044944,0.0,10.112359550561798,10.112359550561798,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w029,60,29,28,Awake,0,1888.23947,1948.399684,24.9893795136852,1499,0.0626338650654385,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,504.51130812089633,28,92,98.77529500008488,91,89,92.38020619940067,93.7101731763195,651.2656813192409,640.2720000005502,34.30272866761157,600.2550000005158,720.306000000619,0.05267086789852953,0,0.0,0,0.0,True,24.719101123595507,43.82022471910113,4.49438202247191,26.966292134831463,31.460674157303373,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w030,60,30,29,Awake,0,1948.440074,2008.589975,24.9893795136852,1499,0.10861504777503198,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,472.92614449536705,28,96,98.70860000008481,95,93,98.13774745017272,93.7101731763195,623.4227368426409,640.2720000005502,69.69847893019646,320.1360000002751,720.306000000619,0.11179970638091942,0,0.0,4,4.25531914893617,True,38.70967741935483,40.86021505376344,1.075268817204301,19.354838709677416,20.430107526881716,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w031,60,31,30,Awake,0,2008.629992,2068.789543,24.9893795136852,1499,0.08792691633666333,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,541.0144632807607,28,98,99.17546500008523,97,95,98.16381953121405,99.9575180547408,613.4564845366097,600.2550000005158,36.85840937154682,520.221000000447,680.2890000005846,0.060083168571261884,0,0.0,0,0.0,True,25.263157894736842,41.05263157894736,3.1578947368421053,30.52631578947368,33.68421052631579,True,True,True,,
