session,session_id,state,window_id,window_30_id,parent_window_60_id,subwindow,duration_s,window_size_s,representation,fs,n_samples,m,tau_seconds,tau_samples,theiler_seconds,theiler_samples,n_horizons,horizon_min_s,horizon_max_s,Mean_CC,Mean_NRMSE,mean_valid_fraction,minimum_valid_fraction,valid,status,failure_reason
sample_12,12,Drowsy,43,sample_12_drowsy_w0011_60s_h1,sample_12_drowsy_w0011_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5056633243623803,0.8207813087274026,1.0,1.0,True,ok,
sample_12,12,Drowsy,44,sample_12_drowsy_w0011_60s_h2,sample_12_drowsy_w0011_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6739339682045429,0.6352109505373309,1.0,1.0,True,ok,
sample_12,12,Drowsy,45,sample_12_drowsy_w0012_60s_h1,sample_12_drowsy_w0012_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7322733633940316,0.6312803938189286,1.0,1.0,True,ok,
sample_12,12,Drowsy,46,sample_12_drowsy_w0012_60s_h2,sample_12_drowsy_w0012_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.5010362315804077,0.7641825590792127,1.0,1.0,True,ok,
sample_12,12,Drowsy,47,sample_12_drowsy_w0018_60s_h1,sample_12_drowsy_w0018_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5661605683346395,0.7593752480583625,1.0,1.0,True,ok,
sample_12,12,Drowsy,48,sample_12_drowsy_w0018_60s_h2,sample_12_drowsy_w0018_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7734638641391038,0.5680725128663335,1.0,1.0,True,ok,
sample_12,12,Drowsy,49,sample_12_drowsy_w0019_60s_h1,sample_12_drowsy_w0019_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6900898455193473,0.6133047024171655,1.0,1.0,True,ok,
sample_12,12,Drowsy,50,sample_12_drowsy_w0019_60s_h2,sample_12_drowsy_w0019_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.48980914667151637,0.7496205273981524,1.0,1.0,True,ok,
sample_12,12,Drowsy,51,sample_12_drowsy_w0020_60s_h1,sample_12_drowsy_w0020_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6709808899675288,0.6362329280271234,1.0,1.0,True,ok,
sample_12,12,Drowsy,52,sample_12_drowsy_w0020_60s_h2,sample_12_drowsy_w0020_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6994229723325412,0.6247596021623243,1.0,1.0,True,ok,
sample_12,12,Drowsy,53,sample_12_drowsy_w0021_60s_h1,sample_12_drowsy_w0021_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7211997128467911,0.6424682430444483,1.0,1.0,True,ok,
sample_12,12,Drowsy,54,sample_12_drowsy_w0021_60s_h2,sample_12_drowsy_w0021_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.504326606194268,0.7958136950033867,1.0,1.0,True,ok,
sample_12,12,Drowsy,55,sample_12_drowsy_w0022_60s_h1,sample_12_drowsy_w0022_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5759436860749646,0.6980853159729608,1.0,1.0,True,ok,
sample_12,12,Drowsy,56,sample_12_drowsy_w0022_60s_h2,sample_12_drowsy_w0022_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7045483509924758,0.6269125733481706,1.0,1.0,True,ok,
sample_12,12,Drowsy,57,sample_12_drowsy_w0023_60s_h1,sample_12_drowsy_w0023_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6297786746598799,0.711654372742966,1.0,1.0,True,ok,
sample_12,12,Drowsy,58,sample_12_drowsy_w0023_60s_h2,sample_12_drowsy_w0023_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7626572975745716,0.5928213868451051,1.0,1.0,True,ok,
sample_12,12,Drowsy,59,sample_12_drowsy_w0024_60s_h1,sample_12_drowsy_w0024_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5178867206502638,0.769955814290915,1.0,1.0,True,ok,
sample_12,12,Drowsy,60,sample_12_drowsy_w0024_60s_h2,sample_12_drowsy_w0024_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6124498447730612,0.6771787095123754,1.0,1.0,True,ok,
sample_12,12,Drowsy,61,sample_12_drowsy_w0025_60s_h1,sample_12_drowsy_w0025_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6249975619657595,0.6676879709361248,1.0,1.0,True,ok,
sample_12,12,Drowsy,62,sample_12_drowsy_w0025_60s_h2,sample_12_drowsy_w0025_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6300231848603279,0.6619940432311794,1.0,1.0,True,ok,
sample_12,12,Drowsy,63,sample_12_drowsy_w0026_60s_h1,sample_12_drowsy_w0026_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7728652096174419,0.5483075898704711,1.0,1.0,True,ok,
sample_12,12,Drowsy,64,sample_12_drowsy_w0026_60s_h2,sample_12_drowsy_w0026_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6020846702475697,0.7069782211221246,1.0,1.0,True,ok,
sample_12,12,Drowsy,65,sample_12_drowsy_w0027_60s_h1,sample_12_drowsy_w0027_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5871642842897851,0.7000943815647066,1.0,1.0,True,ok,
sample_12,12,Drowsy,66,sample_12_drowsy_w0027_60s_h2,sample_12_drowsy_w0027_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6181098743189364,0.6884570383680542,1.0,1.0,True,ok,
sample_12,12,Drowsy,67,sample_12_drowsy_w0035_60s_h1,sample_12_drowsy_w0035_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6280780233087802,0.6928981189647122,1.0,1.0,True,ok,
sample_12,12,Drowsy,68,sample_12_drowsy_w0035_60s_h2,sample_12_drowsy_w0035_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6025812096912287,0.7039007954711396,1.0,1.0,True,ok,
sample_12,12,Drowsy,69,sample_12_drowsy_w0036_60s_h1,sample_12_drowsy_w0036_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7461827486957306,0.6191445053195392,1.0,1.0,True,ok,
sample_12,12,Drowsy,70,sample_12_drowsy_w0036_60s_h2,sample_12_drowsy_w0036_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7430711204009492,0.5892572218657485,1.0,1.0,True,ok,
sample_12,12,Drowsy,71,sample_12_drowsy_w0037_60s_h1,sample_12_drowsy_w0037_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.8285538158937837,0.5040550018451616,1.0,1.0,True,ok,
sample_12,12,Drowsy,72,sample_12_drowsy_w0037_60s_h2,sample_12_drowsy_w0037_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7661503415332008,0.5830273521557334,1.0,1.0,True,ok,
sample_12,12,Drowsy,73,sample_12_drowsy_w0038_60s_h1,sample_12_drowsy_w0038_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6819367693204974,0.6363972984217007,1.0,1.0,True,ok,
sample_12,12,Drowsy,74,sample_12_drowsy_w0038_60s_h2,sample_12_drowsy_w0038_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.5064703451405825,0.7777662502704225,1.0,1.0,True,ok,
sample_12,12,Drowsy,75,sample_12_drowsy_w0039_60s_h1,sample_12_drowsy_w0039_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.489586557055747,0.7556502705857597,1.0,1.0,True,ok,
sample_12,12,Drowsy,76,sample_12_drowsy_w0039_60s_h2,sample_12_drowsy_w0039_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.8285259717786979,0.49858744010646355,1.0,1.0,True,ok,
sample_12,12,Drowsy,77,sample_12_drowsy_w0040_60s_h1,sample_12_drowsy_w0040_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.704177868095603,0.6224298362847532,1.0,1.0,True,ok,
sample_12,12,Drowsy,78,sample_12_drowsy_w0040_60s_h2,sample_12_drowsy_w0040_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6082907504768118,0.6730873015453505,1.0,1.0,True,ok,
sample_12,12,Drowsy,79,sample_12_drowsy_w0041_60s_h1,sample_12_drowsy_w0041_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6894454918403277,0.64961864249732,1.0,1.0,True,ok,
sample_12,12,Drowsy,80,sample_12_drowsy_w0041_60s_h2,sample_12_drowsy_w0041_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7249020757060131,0.6035768677859257,1.0,1.0,True,ok,
sample_12,12,Drowsy,81,sample_12_drowsy_w0042_60s_h1,sample_12_drowsy_w0042_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6805849519671443,0.6469530869321398,1.0,1.0,True,ok,
sample_12,12,Drowsy,82,sample_12_drowsy_w0042_60s_h2,sample_12_drowsy_w0042_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7951355918757732,0.5375418795075851,1.0,1.0,True,ok,
sample_12,12,Drowsy,83,sample_12_drowsy_w0043_60s_h1,sample_12_drowsy_w0043_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7840960388954521,0.5688173827522456,1.0,1.0,True,ok,
sample_12,12,Drowsy,84,sample_12_drowsy_w0043_60s_h2,sample_12_drowsy_w0043_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6975692473479607,0.6466241971251128,1.0,1.0,True,ok,
sample_12,12,Drowsy,85,sample_12_drowsy_w0044_60s_h1,sample_12_drowsy_w0044_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7463762756200457,0.6214769492535777,1.0,1.0,True,ok,
sample_12,12,Drowsy,86,sample_12_drowsy_w0044_60s_h2,sample_12_drowsy_w0044_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.8314741323893418,0.510848091798432,1.0,1.0,True,ok,
sample_12,12,Drowsy,87,sample_12_drowsy_w0045_60s_h1,sample_12_drowsy_w0045_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7946057997836287,0.5525572862898285,1.0,1.0,True,ok,
sample_12,12,Drowsy,88,sample_12_drowsy_w0045_60s_h2,sample_12_drowsy_w0045_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.71703749713018,0.6304857719018649,1.0,1.0,True,ok,
sample_12,12,Drowsy,89,sample_12_drowsy_w0046_60s_h1,sample_12_drowsy_w0046_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6383646198498258,0.6675013776581821,1.0,1.0,True,ok,
sample_12,12,Drowsy,90,sample_12_drowsy_w0046_60s_h2,sample_12_drowsy_w0046_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7074722273784703,0.6373311368414409,1.0,1.0,True,ok,
sample_12,12,Drowsy,91,sample_12_drowsy_w0047_60s_h1,sample_12_drowsy_w0047_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.523945465333507,0.7449524114882424,1.0,1.0,True,ok,
sample_12,12,Drowsy,92,sample_12_drowsy_w0047_60s_h2,sample_12_drowsy_w0047_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6253361121656764,0.6803809529198077,1.0,1.0,True,ok,
sample_12,12,Drowsy,93,sample_12_drowsy_w0048_60s_h1,sample_12_drowsy_w0048_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7681225508514902,0.5807896441625312,1.0,1.0,True,ok,
sample_12,12,Drowsy,94,sample_12_drowsy_w0048_60s_h2,sample_12_drowsy_w0048_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6608823049424815,0.6648225830222276,1.0,1.0,True,ok,
sample_12,12,Drowsy,95,sample_12_drowsy_w0049_60s_h1,sample_12_drowsy_w0049_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6374878886301217,0.688022295901952,1.0,1.0,True,ok,
sample_12,12,Drowsy,96,sample_12_drowsy_w0049_60s_h2,sample_12_drowsy_w0049_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7659078843454665,0.5575633470827844,1.0,1.0,True,ok,
sample_12,12,Drowsy,97,sample_12_drowsy_w0050_60s_h1,sample_12_drowsy_w0050_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7430304759141345,0.5970761824301484,1.0,1.0,True,ok,
sample_12,12,Drowsy,98,sample_12_drowsy_w0050_60s_h2,sample_12_drowsy_w0050_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6128766721441279,0.6789177035267103,1.0,1.0,True,ok,
sample_12,12,Drowsy,99,sample_12_drowsy_w0051_60s_h1,sample_12_drowsy_w0051_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6454995018216368,0.687279133911765,1.0,1.0,True,ok,
sample_12,12,Drowsy,100,sample_12_drowsy_w0051_60s_h2,sample_12_drowsy_w0051_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6332556887674037,0.6572038988479052,1.0,1.0,True,ok,
sample_12,12,Drowsy,101,sample_12_drowsy_w0052_60s_h1,sample_12_drowsy_w0052_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7925666413691106,0.5535906891107749,1.0,1.0,True,ok,
sample_12,12,Drowsy,102,sample_12_drowsy_w0052_60s_h2,sample_12_drowsy_w0052_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7277837471774136,0.6146843201533525,1.0,1.0,True,ok,
sample_12,12,Drowsy,103,sample_12_drowsy_w0053_60s_h1,sample_12_drowsy_w0053_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5664639358815647,0.7261194875600326,1.0,1.0,True,ok,
sample_12,12,Drowsy,104,sample_12_drowsy_w0053_60s_h2,sample_12_drowsy_w0053_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7859009962840413,0.543134242790616,1.0,1.0,True,ok,
