session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
8,2,Awake,60,processed,24,3991898708889822708,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6288371154892332,0.8359299411874729,1472,1472,1392,True,ok
8,2,Awake,60,processed,25,14534205758196986899,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6946654557218542,0.9692212669635321,1472,1472,1413,True,ok
8,2,Awake,60,processed,26,7678556580390245745,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7382453565595278,0.9041502014377566,1472,1472,1420,True,ok
8,2,Awake,60,processed,27,17655559663376410023,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6547283459091111,0.9343700047124359,1472,1472,1403,True,ok
8,2,Awake,60,processed,28,3644899461997015388,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6559621678339428,0.9308622527416651,1472,1472,1394,True,ok
8,2,Awake,60,processed,29,4515246511923360720,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.670354088537169,0.9459897044203627,1472,1472,1420,True,ok
8,2,Awake,60,processed,30,3628748218914258529,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6553442930616248,0.9220266361045815,1472,1472,1428,True,ok
8,2,Awake,60,processed,31,15896735834289074911,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6321275616027243,0.8362888814298971,1472,1472,1410,True,ok
8,2,Awake,60,processed,32,1911055341924161074,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7400631724966078,0.9358612371670612,1472,1472,1407,True,ok
8,2,Awake,60,processed,33,10404998125664200588,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6824678836569744,0.9168372120342402,1472,1472,1422,True,ok
8,2,Awake,60,processed,34,14304290006143701256,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6645144260906284,0.8789230177984063,1472,1472,1410,True,ok
8,2,Awake,60,processed,35,5601314648710278424,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.588951203844926,0.9234847831127767,1472,1472,1411,True,ok
8,2,Awake,60,processed,36,7476255046665387420,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6838896307955478,0.9143245178803827,1472,1472,1420,True,ok
8,2,Awake,60,processed,37,12254762022606435056,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6688157632692909,0.8940027328090698,1472,1472,1396,True,ok
8,2,Awake,60,processed,38,18348444572302510782,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6790960738396948,0.8968362462719898,1472,1472,1421,True,ok
8,2,Awake,60,processed,39,2541038831377610937,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6506826766433139,0.9443432432145502,1472,1472,1405,True,ok
8,3,Awake,60,processed,1,14037087366806952493,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7250865631081191,0.9383132478674221,1472,1472,1405,True,ok
8,3,Awake,60,processed,2,1051637431798552172,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7168168967490625,0.8977946262416616,1472,1472,1414,True,ok
8,3,Awake,60,processed,3,7522515140257074954,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6675476930764381,0.874684663748202,1472,1472,1424,True,ok
8,3,Awake,60,processed,4,9847446336953164395,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7405795067409773,0.9111052222052619,1472,1472,1416,True,ok
8,3,Awake,60,processed,5,9268927511442083911,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6467650605457236,0.8502676605825555,1472,1472,1412,True,ok
8,3,Awake,60,processed,6,9904161547299996350,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6433279721410179,0.9299213685478745,1472,1472,1412,True,ok
8,3,Awake,60,processed,7,2214067403043602412,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6884080805875913,0.8955829264360194,1472,1472,1385,True,ok
8,3,Awake,60,processed,8,8981635367612417222,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7533962750436082,0.9539585146582912,1472,1460,1403,True,ok
8,3,Awake,60,processed,9,16421642377050539172,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6445858793184867,0.8612088395534171,1472,1472,1403,True,ok
8,3,Awake,60,processed,10,15498679004755597021,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6813484134486498,0.9470762604396429,1472,1472,1428,True,ok
8,3,Awake,60,processed,11,14087071976767985975,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6746100928712395,0.9484508780817759,1472,1472,1413,True,ok
8,3,Awake,60,processed,12,5103263367916326946,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7259436919334251,0.8345432093181844,1472,1472,1426,True,ok
8,3,Awake,60,processed,13,8610126007479342962,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6545918698668044,0.9219632769011288,1472,1472,1414,True,ok
8,3,Awake,60,processed,14,14832181480742919848,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7009301670623204,0.9134914866389566,1472,1472,1416,True,ok
8,3,Awake,60,processed,15,11779165349162840586,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7185439553222448,0.9367993486042139,1472,1472,1413,True,ok
