config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,fit_start_s,fit_end_s,theiler_multiplier,theiler_base_s,theiler_s,theiler_samples,lle,fit_r2,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,21,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4692488172302807,0.4692488172302808,12,0.7633845704399094,0.9907746645265672,1472,1392,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,22,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5283159066402929,0.5283159066402929,13,0.7824802990670998,0.985376260712804,1472,1407,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,23,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.48484515886425533,0.4848451588642554,12,0.7139715450466734,0.9749342795071846,1472,1417,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,24,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.48460492492673984,0.4846049249267398,12,0.8326741137969206,0.9596727136124612,1472,1403,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,25,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4686574708286083,0.4686574708286083,12,0.8224498955850977,0.9497421568861222,1472,1415,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,26,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5184290573908418,0.5184290573908419,13,0.8477073570325854,0.9612577989930748,1472,1422,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,27,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5164833803758792,0.5164833803758789,13,0.8643698428492461,0.9764534952032158,1472,1417,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,28,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5021008397746517,0.5021008397746517,13,0.7058906281690734,0.9598033740966572,1472,1406,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,29,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5036603125806921,0.5036603125806921,13,0.8146802098355347,0.9853862708152472,1472,1418,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,30,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5154811505530754,0.5154811505530754,13,0.9177205889179748,0.9867590459560692,1472,1426,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,31,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5356265341330797,0.5356265341330797,13,0.8519954661531333,0.9851459704686976,1472,1412,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,32,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4757450425199569,0.4757450425199569,12,0.7808807446067751,0.9523039006658244,1472,1427,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,33,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5188461518853436,0.5188461518853436,13,0.73752065527316,0.9819718554598276,1472,1400,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,34,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4917423019396621,0.491742301939662,12,0.7535467389481182,0.9703134123910028,1472,1415,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,35,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.49313405245748715,0.4931340524574871,12,0.7435326898100797,0.960667381299927,1472,1419,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,36,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.509046670735312,0.509046670735312,13,0.8618768919086157,0.9806308939597052,1472,1434,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,37,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.49288838622209563,0.4928883862220957,12,0.7588513260015309,0.9804749805892063,1472,1414,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,38,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4879054589892962,0.4879054589892962,12,0.7621550296798051,0.9455278375363374,1472,1428,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,39,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4901124860336338,0.4901124860336338,12,0.7806199838297103,0.9793583443248896,1472,1420,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,40,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.50800008751083,0.5080000875108299,13,0.7510098988471643,0.985959997287192,1472,1411,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,41,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5212302993317245,0.5212302993317246,13,0.7654461666979245,0.9573745635618822,1472,1406,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,42,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5381219299782364,0.5381219299782364,13,0.7022239123757171,0.9412632933482596,1472,1409,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,43,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.48251962069814264,0.4825196206981425,12,0.7593469695050169,0.9715238007424456,1472,1401,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,44,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.47133655535599017,0.4713365553559903,12,0.8350988727764167,0.98147363514161,1472,1413,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,45,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5217091506709459,0.521709150670946,13,0.8351175750698633,0.989097398831966,1472,1416,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,46,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5268223538808753,0.5268223538808753,13,0.8712319360183066,0.9733062881021652,1472,1425,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,2,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5476865073526967,0.5476865073526967,14,0.7003659490137759,0.978423853440304,1472,1419,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,3,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5327884803421785,0.5327884803421785,13,0.6927116192020786,0.903251501570499,1472,1417,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,4,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5013117222208616,0.5013117222208617,13,0.7809935044928492,0.9866050483911788,1472,1418,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,5,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.47936072178418426,0.4793607217841842,12,0.809792073082385,0.989038603962157,1472,1404,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,6,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.4956859791982041,0.4956859791982041,12,0.7302719706760146,0.9753452686516214,1472,1415,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,7,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5527321847654943,0.5527321847654943,14,0.7343543510761443,0.9697716126349613,1472,1433,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,8,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5353833896721303,0.5353833896721303,13,0.786855931255348,0.9863210495404174,1472,1410,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,9,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5297401511016432,0.5297401511016432,13,0.8130711282416521,0.957301440381894,1472,1414,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,10,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.5198509404895525,0.5198509404895524,13,0.8262337648720133,0.9529519271369644,1472,1381,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,11,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.45849314878443,0.45849314878443,11,0.6882142096766141,0.9818434555892338,1472,1405,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),5,12,Awake,25.002500250041432,1500,8,0.16,4,0.8,1.3,1.0,0.46463501657405115,0.4646350165740511,12,0.7402914129813681,0.9849126560843788,1472,1428,True,ok
