session,representation,state,window_size,window_id,fs,tau_samples,theiler_samples,epsilon,target_rr,achieved_rr,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines
sample_1,Raw,Awake,120,2,50.00000000004548,10,70,329.5163121910659,0.02,0.0200001514545167,0.9405865905516396,4.837560106056293,2.019710504457925,221,0.9702088308964876,4.4871962390214994,10,66757,148472
sample_1,Raw,Awake,120,3,50.00000000004548,10,70,370.58737161430633,0.02,0.0200000932027795,0.947128057109737,5.037035889651326,2.0635576816083065,240,0.9769935836010474,5.185906652443455,27,64559,129366
sample_1,Raw,Awake,120,4,50.00000000004548,10,70,475.14103169480114,0.02,0.0200000932027795,0.9694500187860976,6.303380361708172,2.2375474199173144,406,0.987336131345405,6.386777700322173,84,52805,106154
sample_1,Raw,Awake,120,5,50.00000000004548,10,70,308.0568129420286,0.02,0.0200000932027795,0.9454358520296268,4.775499095228988,2.023906652575403,196,0.9729086995651528,4.779748447471596,11,67973,139772
sample_1,Raw,Awake,120,6,50.00000000004548,10,70,316.90692639953454,0.02,0.0200002679579911,0.939139400364651,5.020021173246979,2.0277200296066726,281,0.973096795614868,4.490990597423196,11,64232,148789
sample_1,Raw,Awake,120,7,50.00000000004548,10,70,370.66966425646433,0.02,0.0200000932027795,0.9481736709199944,4.835856147595775,2.0270958433081963,239,0.9766819382592714,5.03726124935219,21,67319,133141
sample_1,Raw,Awake,120,8,50.00000000004548,10,70,308.1817645481316,0.02,0.0200000932027795,0.9589239789246196,5.403334865095516,2.11751498891968,225,0.9816566134345356,5.392785426850244,60,60932,124997
sample_1,Raw,Awake,120,10,50.00000000004548,10,70,267.23210884921747,0.02,0.0200003262097283,0.942657925165214,5.13550608508005,2.065497515986962,326,0.965166029305971,4.243929614261565,22,63023,156168
sample_1,Raw,Awake,120,12,50.00000000004548,10,70,342.23585434535806,0.02,0.0200000349510423,0.979638140840804,6.954490943677115,2.3215332136979634,255,0.9912637109786856,6.806838068380684,60,48364,99999
sample_1,Raw,Awake,120,13,50.00000000004548,10,70,320.7802986469088,0.02,0.0200000932027795,0.9761372870544855,6.419806531941385,2.2643408408479377,240,0.9893909517998246,6.104708419444694,65,52205,111290
sample_1,Raw,Awake,180,1,50.00000000004548,10,70,478.9300575240606,0.02,0.0200000662498531,0.9673503968607866,5.628946763635286,2.170688965708077,306,0.9881629740989412,6.165713399922891,17,134889,251591
sample_1,Raw,Awake,180,2,50.00000000004548,10,70,362.1311916971528,0.02,0.0200002191341297,0.9456464131193656,4.977020974144405,2.050993978705325,236,0.9763796380759217,4.992238467626626,26,149136,307027
sample_1,Raw,Awake,180,3,50.00000000004548,10,70,460.5479128165953,0.02,0.0200000152884276,0.9673872606725884,5.908107687519452,2.2080261242438763,317,0.986742395287091,6.186884158981344,63,128520,250369
sample_1,Raw,Awake,180,4,50.00000000004548,10,70,319.8906063015918,0.02,0.0200000662498531,0.9412684256793772,4.863062209145422,2.0280933879359995,281,0.9728134435795188,4.642121741773691,11,151923,328975
sample_1,Raw,Awake,180,5,50.00000000004548,10,70,322.8875655695571,0.02,0.0200000152884276,0.9429054105704108,4.679844446552215,1.9944994455338847,214,0.9718470190136932,4.80395558858352,16,158145,317576
sample_1,Raw,Awake,180,7,50.00000000004548,10,70,346.1892545992726,0.02,0.0200001172112786,0.979967181034307,7.027371729279345,2.328989286125064,374,0.9916239017877164,6.728454293580916,61,109456,231357
sample_1,Raw,Drowsy,60,18,50.00000000004548,10,70,376.8925576341353,0.02,0.0200003913540115,0.9594834228130464,5.581673306772909,2.1320187217623072,246,0.9827318421406646,5.348041662507072,14,14056,30051
sample_1,Raw,Drowsy,60,19,50.00000000004548,10,70,354.5532400077596,0.02,0.0200008805465258,0.9589218671656212,5.832490330258851,2.186936235366308,248,0.9792163480940675,5.311718464957378,33,13444,30149
sample_1,Raw,Drowsy,60,20,50.00000000004548,10,70,298.31694554617576,0.02,0.0200003913540115,0.980102483826389,8.095969289827256,2.4112158193736097,363,0.9889444655064876,8.053480729011055,163,9899,20082
