session,representation,window_size,n_awake_windows,n_drowsy_windows,delta_DET,delta_Lmean,delta_ENTR,delta_Lmax,delta_LAM,delta_TT,delta_Vmax
sample_8,Processed,60,36,10,-0.011734201447211823,-0.13997818869239875,-0.004754756756494283,3.3555555555555543,0.006698287768019506,-0.0041721674128383235,0.0
sample_8,Processed,120,17,5,-0.01959022452185155,-0.1938730997138105,-0.012127237470995977,-8.517647058823542,0.0032323591914821814,-0.00018820805986408118,-0.11764705882352944
sample_8,Processed,180,9,3,-0.018465503642262737,-0.19016812735461208,-0.009981329319175503,-2.0,0.007473971572391158,0.019316814836244145,-0.11111111111111116
sample_8,Raw,60,38,10,-0.010842852175704798,0.03621907910990929,-0.005774734758697386,3.94736842105263,0.006750930421232981,0.05075158775343347,0.3473684210526322
sample_8,Raw,120,18,5,-0.012933596748278209,0.06405550108425295,0.002880357619639007,-7.51111111111112,-0.002333358797895646,0.059842069272584286,0.25555555555555554
sample_8,Raw,180,10,3,-0.020183985681991312,0.015017929802628949,-0.009021423100335157,-23.80000000000001,-0.006645132987086466,0.014254465398638505,-0.20000000000000018
sample_9,Processed,60,47,18,0.03556548515546365,0.13448891824376696,0.019918660976302238,0.8380614657210401,-0.02901957340614436,-0.035481038142802124,-0.4976359338061469
sample_9,Processed,120,19,10,0.029435948774084286,0.11935246697370383,0.01337063140806305,-5.28947368421052,0.0019822949608734874,0.040759549688686114,8.494736842105262
sample_9,Processed,180,11,6,0.0364660190360252,0.11742292395740916,0.01967391555244813,0.5,-0.03802278509415108,-0.01905887741690293,13.924242424242422
sample_9,Raw,60,50,21,-0.0010966645098883232,-0.03186575923289947,-0.01973035349421881,0.9914285714285711,0.006835814614149838,-0.00788103327963574,2.81047619047619
sample_9,Raw,120,22,10,-0.02124753656242384,-0.19545467856440446,-0.06020669804054313,-11.36363636363636,-0.0034570036926684367,-0.03166373822236901,5.627272727272725
sample_9,Raw,180,13,6,-0.024697372486475855,-0.21448961480128137,-0.05787451904153085,-37.769230769230774,-0.022254506975201704,-0.14655433808355012,2.3461538461538467
