Time (s),IR Value raw,PPG processed,Label,source_row_index,segment_id,retained_interval_id,sqi_artifact,rule
13.26959133,127627,61.788174440129175,0,331,2,2,False,T30
13.31016254,126578,1107.3171539044492,0,332,2,2,False,T30
13.35005164,126568,1218.3090612327578,0,333,2,2,False,T30
13.3895328,126790,933.4623991178024,0,334,2,2,False,T30
13.43054056,126934,774.5845736198191,0,335,2,2,False,T30
13.46962643,127108,611.290688719356,0,336,2,2,False,T30
13.51038742,127295,443.8941971606756,0,337,2,2,False,T30
13.54960775,127295,425.58100063883103,0,338,2,2,False,T30
13.59056902,127251,478.5985623720681,0,339,2,2,False,T30
13.62963653,127317,427.2631133785766,0,340,2,2,False,T30
13.66956472,127513,226.57828672219617,0,341,2,2,False,T30
13.7105217,127813,-51.67656548831573,0,342,2,2,False,T30
13.74953985,128065,-306.19109688970207,0,343,2,2,False,T30
13.78959894,128266,-488.1827044132701,0,344,2,2,False,T30
13.82984853,128398,-620.4838117609215,0,345,2,2,False,T30
13.86962605,128490,-703.0639682812418,0,346,2,2,False,T30
13.91049886,128581,-746.2849648024865,0,347,2,2,False,T30
13.95001197,128713,-947.7801350015498,0,348,2,2,False,T30
13.98954225,128948,-1159.9420557044134,0,349,2,2,False,T30
14.0305388,128608,-646.7488467342864,0,350,2,2,False,T30
14.07003403,127255,418.9314378611092,0,351,2,2,False,T30
14.11027288,126981,923.5670096921884,0,352,2,2,False,T30
14.14963627,127070,778.8995159260892,0,353,2,2,False,T30
14.18950319,127207,626.5190777954219,0,354,2,2,False,T30
14.22954607,127313,535.7909008899215,0,355,2,2,False,T30
14.26957035,127465,394.8016032698033,0,356,2,2,False,T30
14.3102963,127544,322.37568847820205,0,357,2,2,False,T30
14.34972429,127504,357.6884692948077,0,358,2,2,False,T30
14.38949203,127500,366.5630907570204,0,359,2,2,False,T30
14.43005466,127629,250.5154095069237,0,360,2,2,False,T30
14.46954417,127843,24.775652364138423,0,361,2,2,False,T30
14.61673331,128117,-238.4251108041419,0,362,3,3,False,T30
14.61693192,128346,-462.8989886034801,0,363,3,3,False,T30
14.61707377,128495,-636.4885413800254,0,364,3,3,False,T30
14.62955499,128683,-785.6847810615556,0,365,3,3,False,T30
14.66971135,128915,-1039.5755046111651,0,366,3,3,False,T30
14.71000576,129091,-1329.072929992096,0,367,3,3,False,T30
14.74955058,128969,-923.543220867877,0,368,3,3,False,T30
14.7895,127420,284.3899112960995,0,369,3,3,False,T30
14.8295846,126790,1079.428869104232,0,370,3,3,False,T30
14.86953855,126879,986.9460328812038,0,371,3,3,False,T30
14.91028762,127096,716.8064299551428,0,372,3,3,False,T30
14.95037746,127242,556.6363623672373,0,373,3,3,False,T30
14.98946571,127425,383.23099492686185,0,374,3,3,False,T30
15.02961206,127500,297.82835531973967,0,375,3,3,False,T30
15.06948161,127413,354.2586841058845,0,376,3,3,False,T30
