session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
5,13,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.44450291647356294,11,0.8,1.3,0.5,5.0,0.8053025385771132,0.985045507039867,2972,2972,2911,True,True,True,ok
5,14,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.4535633476826661,11,0.8,1.3,0.5,5.0,0.6990892356541168,0.9673288946140697,2972,2972,2899,True,True,True,ok
5,15,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.44792323616316865,11,0.8,1.3,0.5,5.0,0.7171320458414292,0.9477930428298864,2972,2972,2904,True,True,True,ok
5,16,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.4617645365232751,12,0.8,1.3,0.5,5.0,0.775732155098546,0.9653227967434935,2972,2972,2897,True,True,True,ok
5,17,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.474746479631587,12,0.8,1.3,0.5,5.0,0.794545786701795,0.9891939979627705,2972,2972,2908,True,True,True,ok
5,18,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.46669028881176255,12,0.8,1.3,0.5,5.0,0.8225489341016285,0.98121304458736,2972,2972,2908,True,True,True,ok
5,19,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.5059943426052913,13,0.8,1.3,0.5,5.0,0.7416083898099255,0.9897665259381421,2972,2972,2916,True,True,True,ok
5,20,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.5010567452495601,13,0.8,1.3,0.5,5.0,0.687549806997332,0.9469201593236145,2972,2972,2928,True,True,True,ok
5,21,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.4876313119471156,12,0.8,1.3,0.5,5.0,0.6632633051840117,0.968891956750028,2972,2972,2896,True,True,True,ok
5,22,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.5120155862074426,13,0.8,1.3,0.5,5.0,0.6637455832923813,0.9822959108694145,2972,2972,2911,True,True,True,ok
5,23,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.48553043554843106,12,0.8,1.3,0.5,5.0,0.7177908915832182,0.9646095579838532,2972,2972,2934,True,True,True,ok
5,25,Drowsy,120,processed,25.002500250041432,3000,8,0.16,4,0.5381296582458232,13,0.8,1.3,0.5,5.0,0.7005041648410688,0.9754812429071218,2972,2972,2929,True,True,True,ok
5,1,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.5069350316898956,13,0.8,1.3,0.5,5.0,0.7965522842821547,0.9674383319348597,4472,4472,4406,True,True,True,ok
5,2,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.5294363940062279,13,0.8,1.3,0.5,5.0,0.8292270718734696,0.9877913082043452,4472,4472,4402,True,True,True,ok
