session,state,representation,window_size_s,horizon_seconds,central_cc,variability_cc,median_cc,iqr_cc,central_nrmse,variability_nrmse,median_nrmse,iqr_nrmse,mean_valid_fraction,minimum_valid_fraction,n_windows
sample_6,Awake,Raw,60,2.8,0.3967687554376536,0.1591322364104858,0.35432735597401366,0.2299057787797023,0.9417483546950207,0.09863745671355592,0.9706962099829495,0.12050700078093635,1.0,1.0,32
sample_6,Awake,Raw,60,3.2,0.37132388962787244,0.16798317666887355,0.3379267205325631,0.24853193524092798,0.9554437569028307,0.09964451638863113,0.9866256579481066,0.13527020724989547,1.0,1.0,32
sample_6,Awake,Raw,60,3.6,0.31763068065396516,0.17226573356582112,0.29235748592763566,0.26281864568851254,0.9837850414333625,0.0934542840393477,1.0075641473869261,0.13837698778977003,1.0,1.0,32
sample_6,Awake,Raw,60,4.0,0.29887390609034237,0.17784709969232246,0.29339512876949614,0.26588329290610163,0.9928676507430574,0.09424799860875605,1.0015931611462703,0.13792863444851688,1.0,1.0,32
sample_6,Awake,Raw,120,0.04,0.9476170710333107,0.009959943741273828,0.9515089488858612,0.008508822520924442,0.31814328895834004,0.028384217832859118,0.30834301996726465,0.027093072991014766,1.0,1.0,14
sample_6,Awake,Raw,120,0.08,0.8727538590788352,0.023775525559339813,0.8722735054963735,0.03128760102674033,0.48611087482115056,0.042193626621924614,0.4898190466246528,0.05880785611532602,1.0,1.0,14
sample_6,Awake,Raw,120,0.12,0.843615519949069,0.02870816040154299,0.8471478119937976,0.03307146335319777,0.5348059131341446,0.04389595313470161,0.532022635797573,0.05238679481832198,1.0,1.0,14
sample_6,Awake,Raw,120,0.16,0.843320843306964,0.032084375455886355,0.8518969228989981,0.03910142141562245,0.5348769600765987,0.0481290294709328,0.5252895097053669,0.0616269429437718,1.0,1.0,14
sample_6,Awake,Raw,120,0.2,0.8466340069788837,0.03710934045368119,0.8542724703721495,0.04145230559865809,0.5289218250539458,0.057268726906520184,0.5201664155771104,0.06716069652434808,1.0,1.0,14
sample_6,Awake,Raw,120,0.28,0.827466486121447,0.04163813843974973,0.8291977187436385,0.056698011005202664,0.5580993627984854,0.059200827715088805,0.5601095453311709,0.08417664173560879,1.0,1.0,14
