window_size_s,horizon_seconds,n_paired_sessions,mean_delta_cc_processed,sd_delta_cc_processed,median_delta_cc_processed,iqr_delta_cc_processed,fraction_positive_delta_cc_processed,mean_delta_cc_raw,sd_delta_cc_raw,median_delta_cc_raw,iqr_delta_cc_raw,fraction_positive_delta_cc_raw,mean_representation_difference_cc,sd_representation_difference_cc,median_representation_difference_cc,iqr_representation_difference_cc,direction_agreement_cc,mean_delta_nrmse_processed,sd_delta_nrmse_processed,median_delta_nrmse_processed,iqr_delta_nrmse_processed,fraction_positive_delta_nrmse_processed,mean_delta_nrmse_raw,sd_delta_nrmse_raw,median_delta_nrmse_raw,iqr_delta_nrmse_raw,fraction_positive_delta_nrmse_raw,mean_representation_difference_nrmse,sd_representation_difference_nrmse,median_representation_difference_nrmse,iqr_representation_difference_nrmse,direction_agreement_nrmse
120,0.6,20,-0.014107500726297972,0.023920417533973528,-0.017853263322503865,0.01751634931860116,0.2,0.01458695074846732,0.030724412527900948,0.013330381771884448,0.04329291363236018,0.6,0.028694451474765292,0.028866281019789303,0.023793673747348976,0.045388012029485836,0.6,0.025685687498967758,0.04143161403616511,0.03375285167493164,0.03424993682287093,0.8,-0.023082188195759416,0.05237819289304589,-0.022352605238049827,0.0711261978033208,0.35,-0.04876787569472718,0.04950299850580668,-0.03562851855931451,0.07258758193065214,0.55
120,0.8,20,-0.020004607127434924,0.0337463568047183,-0.0204966987722226,0.037732962526628666,0.2,0.007441193954191977,0.03578438078834021,0.009463560546496164,0.05035499330931281,0.55,0.027445801081626902,0.03598998391452805,0.018336015473999656,0.053445200199658704,0.65,0.027648703978679162,0.04768295994450749,0.03294270956137463,0.05824417180122962,0.8,-0.010941559415342136,0.05246021032780464,-0.007404957332589723,0.07036331244899863,0.4,-0.038590263394021294,0.051490154299619284,-0.031596350669533035,0.07058073767790403,0.6
120,1.0,20,-0.02166852161680361,0.03852309336964813,-0.02937934245527668,0.04655399115836928,0.25,0.01586711606627762,0.0490479055899736,0.027521388141176606,0.07386933938263654,0.6,0.03753563768308123,0.04492006050168763,0.037322956494317716,0.06699846888921757,0.65,0.02747938776150293,0.0464961444137577,0.03412334520308946,0.0557476635897966,0.8,-0.01834837137118721,0.06048393718281418,-0.024099293422053414,0.08284565202068311,0.4,-0.045827759132690146,0.05664303718515778,-0.04799370657670826,0.0774830198593928,0.6
120,1.2,20,-0.024229194805651992,0.04217138367618785,-0.032472255420692264,0.05122452675754427,0.2,0.017224634551105112,0.052024622218352745,0.03264485826280017,0.08096752321408829,0.6,0.04145382935675711,0.047917867263170814,0.036586213130220646,0.07928725506177797,0.6,0.027505601055002427,0.04577077334524463,0.03731692111963436,0.05497269251114956,0.8,-0.018506216072346086,0.06161925975262547,-0.025772394400161325,0.08962538834139097,0.4,-0.04601181712734852,0.05801499185463502,-0.03715496573299071,0.08717530275008259,0.6
120,1.6,20,-0.03902858303270004,0.058053645058617716,-0.05127480816012159,0.06863424236554042,0.2,0.01631720783843398,0.06678715539935988,0.028573395308736205,0.10083550588675491,0.6,0.05534579087113402,0.06719136205805212,0.05114027461223891,0.10272226263979131,0.6,0.033188398457601444,0.047493757957076665,0.04801916099188508,0.056513844002640506,0.8,-0.01487152900551727,0.06816284434519147,-0.018435028979836787,0.08802345997797278,0.4,-0.048059927463118705,0.0657090534806169,-0.04848172360848596,0.09150730144266639,0.6
120,2.0,20,-0.046112144791978504,0.06842684373477224,-0.055285234360938795,0.08639459727309509,0.2,0.02406352554923998,0.07764066290869862,0.04718187308611477,0.11912097076734374,0.6,0.0701756703412185,0.0723484726378425,0.06454404148707837,0.10359576465218433,0.6,0.03214067223207491,0.04641428238818206,0.04172726155785211,0.05754926641849373,0.8,-0.017616905007470318,0.07075028725048986,-0.034943895034342976,0.08908833990829385,0.45,-0.04975757723954522,0.06433589656138693,-0.055991226738673405,0.08615929714065321,0.55
120,2.4,20,-0.054064789290437155,0.08039254716010039,-0.06923665289353578,0.09858290319536903,0.2,0.02008223322581957,0.08784607191296233,0.03837371960114033,0.1252732221217871,0.6,0.07414702251625671,0.0830085120080295,0.06334967823828672,0.11056971216462752,0.6,0.03238786905100534,0.04606856793772161,0.04221345939472293,0.04907906613360685,0.8,-0.01258362285139047,0.07219722616707347,-0.029669956619337468,0.09698971753109253,0.45,-0.044971491902395806,0.06564413994503715,-0.04633194530146939,0.08601923629690039,0.55
120,2.8,20,-0.05572924935057662,0.08482759791820094,-0.0714740818514529,0.09039270800723885,0.2,0.025937292470296115,0.09515382722511434,0.04132812060411839,0.14459460674902358,0.6,0.08166654182087274,0.08578425848021033,0.07890284647030615,0.09968822351798659,0.6,0.029133030114501336,0.04240840085373275,0.0391869622050004,0.04374012884534756,0.8,-0.013548341185081598,0.07229668563681234,-0.023470410216198223,0.09452937711399578,0.45,-0.04268137129958293,0.06482887677702988,-0.0452178200204576,0.07547832753788597,0.55
120,3.2,20,-0.051495762331659735,0.09035515214697301,-0.05471709399217686,0.09334620158716833,0.25,0.025938545696183247,0.10359247846964877,0.03830383935134998,0.15084340361274912,0.6,0.07743430802784299,0.09399102014343481,0.08303022618857779,0.10082882020295215,0.65,0.02443086776850415,0.03991791807389133,0.026117848600811844,0.040812409224833285,0.8,-0.01198196748967642,0.07377527415654297,-0.026134563141446354,0.09790539089130351,0.4,-0.03641283525818057,0.06789090338219653,-0.04215959686821541,0.07997971535298329,0.5
120,3.6,20,-0.044826169683285524,0.08799211278532922,-0.0436093258400668,0.09010377497632027,0.2,0.032958514975028,0.107002881150025,0.039804758649161914,0.13679328051811213,0.6,0.07778468465831354,0.09292320099220347,0.08733005401151021,0.09739671915490922,0.6,0.01951150688836024,0.0356329799706929,0.02257359211326343,0.03424582351258626,0.8,-0.014663938219741041,0.07229610983706374,-0.027068344506513797,0.07679662139850402,0.45,-0.034175445108101284,0.06752655230200945,-0.03427671489352413,0.07420990854525547,0.55
120,4.0,20,-0.04111819756271294,0.08309443623663422,-0.04690603476661501,0.08191639490125971,0.2,0.0326228346615929,0.11325866294727127,0.028507684526841548,0.1438324631726599,0.6,0.07374103222430584,0.10001723840406693,0.08708668611333217,0.11896225014525237,0.6,0.017114810831183574,0.030510375459306165,0.01791387375417175,0.030109608629489026,0.85,-0.013000964955213662,0.07293374834236062,-0.018260456484873455,0.07649524495927248,0.4,-0.030115775786397236,0.07001124976274434,-0.0323477588909899,0.07898221754413115,0.45
