session,representation,state,window_size,window_id,N,sampling_rate,tau_samples,rho_star,median_NN_distance,rho_NN,attractor_diameter,rho_D,peak_C2,peak_C2_sd,boundary_flag
23,Processed,Awake,120,9,3000,24.997500250004045,4,69.5856502117081,156.7048377823825,0.4440555326590641,4456.276265678021,0.015615201137248312,615.6666666666666,10.115993936995679,False
23,Processed,Awake,120,10,3000,24.997500250004045,4,88.40539154424945,200.68653383952056,0.44051481608099835,5167.444028970092,0.017108146899826076,649.6666666666666,15.275252316519467,False
23,Processed,Awake,120,12,3000,24.997500250004045,4,69.5856502117081,165.89393048036504,0.419458686705504,3994.371468370662,0.017420926111334525,622.3333333333334,8.504900548115383,False
23,Processed,Awake,120,13,3000,24.997500250004045,4,69.5856502117081,143.42561581518868,0.48516891362957654,4036.482999258335,0.01723917832045714,656.3333333333334,34.55912807542073,False
23,Processed,Awake,120,14,3000,24.997500250004045,4,69.5856502117081,137.48497889902748,0.5061327482387264,3585.3089678238007,0.019408550514391224,637.6666666666666,19.75685535031659,False
23,Processed,Awake,120,15,3000,24.997500250004045,4,69.5856502117081,154.2187029804827,0.4512140801788132,3965.2782955289204,0.017548743121049013,613.0,7.810249675906654,False
23,Processed,Awake,120,17,3000,24.997500250004045,4,88.40539154424945,169.0954382700288,0.5228135805950881,3912.872166061031,0.022593478087796687,650.6666666666666,13.051181300301263,False
23,Processed,Awake,120,18,3000,24.997500250004045,4,69.5856502117081,165.75471222554424,0.4198109922632073,4274.08454647175,0.016280831475163713,578.3333333333334,29.160475533388226,False
23,Processed,Awake,120,21,3000,24.997500250004045,4,16.548754598234368,194.0746605295462,0.08527004274066455,4140.610703266643,0.003996694155569514,862.3333333333334,138.94363365528244,False
23,Processed,Awake,120,22,3000,24.997500250004045,4,88.40539154424945,191.7451664728124,0.4610566887837795,3995.35078941533,0.022127066233697715,667.6666666666666,4.725815626252608,False
23,Processed,Awake,120,23,3000,24.997500250004045,4,88.40539154424945,183.21156752658143,0.48253171313226756,4218.186804101682,0.020958149946864794,630.3333333333334,27.970222261064233,False
23,Processed,Awake,120,24,3000,24.997500250004045,4,88.40539154424945,180.38074403998272,0.49010437347266816,4725.981601796244,0.018706249620321937,640.3333333333334,18.502252115170556,False
23,Processed,Awake,120,26,3000,24.997500250004045,4,88.40539154424945,168.11401839745776,0.525865673707472,4029.4291144638732,0.02193992971036842,611.0,10.583005244258363,False
23,Processed,Awake,120,27,3000,24.997500250004045,4,69.5856502117081,154.20925777569119,0.45124171671279034,3692.1038118041024,0.018847154294317065,672.3333333333334,8.621678104251709,False
23,Processed,Awake,120,28,3000,24.997500250004045,4,54.77225575051662,113.89455857211158,0.4809031830597766,3255.545067311705,0.01682429658261352,687.3333333333334,17.47378989610821,False
23,Processed,Awake,180,1,4500,24.997500250004045,4,54.77225575051662,127.4988718279345,0.42959012080071,3361.7229444825753,0.016292911895196938,953.6666666666666,7.505553499465136,False
23,Processed,Awake,180,2,4500,24.997500250004045,4,69.5856502117081,161.57835097346504,0.43066196549521474,4228.215045704234,0.016457452958170957,947.3333333333334,8.386497083606084,False
23,Processed,Awake,180,3,4500,24.997500250004045,4,88.40539154424945,184.30234098304206,0.479675901416704,4577.853747951834,0.01931153689298237,932.0,43.55456348076513,False
23,Processed,Awake,180,4,4500,24.997500250004045,4,88.40539154424945,186.544496167444,0.4739104790574791,4507.360131315926,0.0196135629212391,867.6666666666666,36.50114153466071,False
23,Processed,Awake,180,5,4500,24.997500250004045,4,69.5856502117081,169.21133026957438,0.41123517025041784,4410.159873773353,0.015778486994434127,919.0,37.8021163428716,False
23,Processed,Awake,180,6,4500,24.997500250004045,4,69.5856502117081,176.94552363184837,0.3932603028516704,4580.9587835352395,0.015190193472556662,873.3333333333334,37.16629297271027,False
23,Processed,Awake,180,8,4500,24.997500250004045,4,69.5856502117081,144.78724847715824,0.48060620630335404,3873.563285208574,0.01796424766762555,941.0,12.165525060596439,False
23,Processed,Awake,180,9,4500,24.997500250004045,4,54.77225575051662,132.52855630924287,0.4132864438869366,3866.9480939821237,0.014164207643685487,921.6666666666666,41.525092815469215,False
23,Processed,Awake,180,10,4500,24.997500250004045,4,69.5856502117081,162.68270342674734,0.42773846724916936,4073.4709834842542,0.01708264290916535,865.3333333333334,5.8594652770823155,False
23,Processed,Awake,180,11,4500,24.997500250004045,4,69.5856502117081,157.71639079076888,0.44120747287466416,3923.7365971000513,0.01773453658003887,909.6666666666666,11.06044001535804,False
23,Processed,Awake,180,13,4500,24.997500250004045,4,88.40539154424945,187.77936997146992,0.4707939512081718,4175.6441086610885,0.02117167776843809,966.3333333333334,13.796134724383252,False
23,Processed,Awake,180,14,4500,24.997500250004045,4,69.5856502117081,178.83877390246556,0.3890971107286749,4184.278959094137,0.016630260767024205,946.0,35.679125549822544,False
23,Processed,Awake,180,15,4500,24.997500250004045,4,88.40539154424945,174.02345422386165,0.5080084862039679,4482.795862667819,0.019721038890144173,947.0,14.798648586948742,False
23,Processed,Awake,180,16,4500,24.997500250004045,4,69.5856502117081,168.84653151358577,0.41212365802201323,4068.2268668001584,0.017104663159171432,955.3333333333334,30.13856886670854,False
23,Processed,Awake,180,17,4500,24.997500250004045,4,54.77225575051662,136.53102155328793,0.4011707751643758,3585.7445488075728,0.015275002166211464,974.0,19.974984355438178,False
23,Processed,Drowsy,60,39,1500,24.997500250004045,4,112.315013660346,215.6927511526757,0.5207176090069205,3154.4094993401527,0.03560571754676758,322.0,7.211102550927978,False
23,Processed,Drowsy,60,40,1500,24.997500250004045,4,88.40539154424945,180.82543536384165,0.48889909412560023,4008.25240993773,0.022055844418645998,330.6666666666667,9.018499505645789,False
23,Processed,Drowsy,60,41,1500,24.997500250004045,4,88.40539154424945,151.19534873936985,0.5847097300370162,4203.157731538924,0.021033089213114333,349.3333333333333,5.8594652770823155,False
23,Processed,Drowsy,60,42,1500,24.997500250004045,4,112.315013660346,212.42088453948935,0.5287380942030984,3926.98814826979,0.02860080280859299,342.0,6.557438524302,False
23,Processed,Drowsy,60,43,1500,24.997500250004045,4,112.315013660346,201.63444734072962,0.5570229449462659,3989.729881961835,0.028151032020523232,319.6666666666667,7.094598884597588,False
23,Processed,Drowsy,60,61,1500,24.997500250004045,4,54.77225575051662,116.56409962016608,0.4698895794588267,2821.461309996065,0.019412726148845545,330.6666666666667,11.50362261782493,False
23,Processed,Drowsy,60,62,1500,24.997500250004045,4,88.40539154424945,178.27722962014576,0.49588717377207564,3195.6508452371295,0.02766428368606378,348.3333333333333,14.0118997046558,False
23,Processed,Drowsy,60,63,1500,24.997500250004045,4,69.5856502117081,154.3755000628871,0.4507557882135531,3328.493100436745,0.02090605211186332,324.3333333333333,3.214550253664318,False
