session,state,duration_s,n_windows,metric,value
18,Awake,60,19,Mean_CC,0.7282510079416141
18,Drowsy,60,21,Mean_CC,0.656110216840678
19,Awake,60,34,Mean_CC,0.74088998806926
19,Drowsy,60,10,Mean_CC,0.6979540882647801
21,Awake,60,25,Mean_CC,0.6222530782241327
21,Drowsy,60,15,Mean_CC,0.6164385279868347
22,Awake,60,29,Mean_CC,0.7339079917855992
22,Drowsy,60,13,Mean_CC,0.6256966490326951
23,Awake,60,49,Mean_CC,0.6415341453410874
23,Drowsy,60,13,Mean_CC,0.6386521821538151
25,Awake,60,27,Mean_CC,0.7330552550742705
25,Drowsy,60,15,Mean_CC,0.6640794981577091
1,Awake,120,11,Mean_CC,0.7154089693109362
1,Drowsy,120,1,Mean_CC,0.7565828183399048
4,Awake,120,13,Mean_CC,0.629429135809723
4,Drowsy,120,7,Mean_CC,0.6589711756089522
5,Awake,120,14,Mean_CC,0.6657312215862649
5,Drowsy,120,8,Mean_CC,0.6381661376156461
6,Awake,120,14,Mean_CC,0.6964546620275125
6,Drowsy,120,7,Mean_CC,0.6859222879320346
7,Awake,120,17,Mean_CC,0.7106037241263272
7,Drowsy,120,5,Mean_CC,0.6502510333057159
8,Awake,120,17,Mean_CC,0.7250910221799042
8,Drowsy,120,5,Mean_CC,0.6870175403484693
9,Awake,120,19,Mean_CC,0.6938398146042322
9,Drowsy,120,10,Mean_CC,0.6572158040793105
10,Awake,120,12,Mean_CC,0.7581054203838744
10,Drowsy,120,4,Mean_CC,0.6851238099135921
11,Awake,120,9,Mean_CC,0.6926946836428631
11,Drowsy,120,8,Mean_CC,0.6660112069324238
12,Awake,120,8,Mean_CC,0.7173056912978918
12,Drowsy,120,16,Mean_CC,0.6914853556429468
13,Awake,120,11,Mean_CC,0.6619735453079305
13,Drowsy,120,12,Mean_CC,0.676774009499233
14,Awake,120,16,Mean_CC,0.6754533063038286
14,Drowsy,120,7,Mean_CC,0.586318722039853
15,Awake,120,12,Mean_CC,0.6869180342341475
15,Drowsy,120,3,Mean_CC,0.6662803421155523
17,Awake,120,14,Mean_CC,0.6701673066380563
17,Drowsy,120,5,Mean_CC,0.7357604926106451
18,Awake,120,8,Mean_CC,0.7290715003711323
18,Drowsy,120,10,Mean_CC,0.6746950905735599
19,Awake,120,15,Mean_CC,0.7439553811408532
19,Drowsy,120,4,Mean_CC,0.7002480877719278
21,Awake,120,12,Mean_CC,0.6303045578004353
21,Drowsy,120,7,Mean_CC,0.6292417545638613
22,Awake,120,13,Mean_CC,0.7460625826874471
22,Drowsy,120,6,Mean_CC,0.6602515109252801
23,Awake,120,22,Mean_CC,0.659214697757677
23,Drowsy,120,4,Mean_CC,0.6348419720346413
25,Awake,120,12,Mean_CC,0.7430894254748006
25,Drowsy,120,7,Mean_CC,0.6754201272038416
1,Awake,180,6,Mean_CC,0.7064346030897337
1,Drowsy,180,1,Mean_CC,0.7450928007593913
4,Awake,180,8,Mean_CC,0.6372297253925505
4,Drowsy,180,5,Mean_CC,0.6843605567552415
5,Awake,180,9,Mean_CC,0.6783284158823635
5,Drowsy,180,3,Mean_CC,0.6183688478207006
6,Awake,180,8,Mean_CC,0.7101813822423437
6,Drowsy,180,5,Mean_CC,0.6783740218845673
7,Awake,180,11,Mean_CC,0.7188109514971689
7,Drowsy,180,1,Mean_CC,0.6385327346568899
8,Awake,180,9,Mean_CC,0.7343067286562827
8,Drowsy,180,3,Mean_CC,0.6861456985448996
9,Awake,180,11,Mean_CC,0.6953899869163036
9,Drowsy,180,6,Mean_CC,0.6666608893908185
10,Awake,180,7,Mean_CC,0.765532353382835
10,Drowsy,180,2,Mean_CC,0.6711139057548391
11,Awake,180,5,Mean_CC,0.7031454429098455
