session,duration_s,metric,awake,drowsy,delta_drowsy_minus_awake,n_windows_awake,n_windows_drowsy,source_domain,expected_sign,in_expected_direction
5,120,Mean_NRMSE,0.657763712255664,0.6979073676421401,0.04014365538647613,14,8,Prediction,1,True
6,120,Mean_NRMSE,0.6300125040982795,0.6490762142314845,0.01906371013320507,14,7,Prediction,1,True
7,120,Mean_NRMSE,0.6205637069826181,0.6717599359908558,0.051196229008237726,17,5,Prediction,1,True
8,120,Mean_NRMSE,0.6020039004644419,0.6389883678448213,0.036984467380379416,17,5,Prediction,1,True
10,120,Mean_NRMSE,0.5771847694388056,0.631565174907316,0.05438040546851042,12,4,Prediction,1,True
11,120,Mean_NRMSE,0.6275862942951466,0.6526958058130423,0.025109511517895755,9,8,Prediction,1,True
12,120,Mean_NRMSE,0.5934985237157159,0.6226576867348846,0.029159163019168766,8,16,Prediction,1,True
14,120,Mean_NRMSE,0.6498204900994525,0.7271323799883902,0.07731188988893767,16,7,Prediction,1,True
15,120,Mean_NRMSE,0.6441720454594823,0.6672298138822562,0.02305776842277396,12,3,Prediction,1,True
17,120,Mean_NRMSE,0.6594531791655465,0.5989682305416678,-0.060484948623878654,14,5,Prediction,1,False
18,120,Mean_NRMSE,0.5988123760727541,0.646677330785158,0.04786495471240393,8,10,Prediction,1,True
19,120,Mean_NRMSE,0.556257298065658,0.6133388275159889,0.05708152945033085,15,4,Prediction,1,True
21,120,Mean_NRMSE,0.6847297017797213,0.680787019421452,-0.003942682358269223,12,7,Prediction,1,False
22,120,Mean_NRMSE,0.5865766944730927,0.666187700420776,0.07961100594768333,13,6,Prediction,1,True
23,120,Mean_NRMSE,0.6636933793733467,0.6838561340953936,0.02016275472204687,22,4,Prediction,1,True
25,120,Mean_NRMSE,0.575489140691356,0.6389058903754269,0.06341674968407085,12,7,Prediction,1,True
1,180,Mean_NRMSE,0.5834696846245111,0.5478757002759884,-0.03559398434852268,6,1,Prediction,1,False
4,180,Mean_NRMSE,0.6722149092294469,0.641047140059664,-0.031167769169782922,8,5,Prediction,1,False
5,180,Mean_NRMSE,0.6493834175351524,0.7128100777567767,0.06342666022162435,9,3,Prediction,1,True
6,180,Mean_NRMSE,0.6206818535489868,0.6481292251856745,0.027447371636687756,8,5,Prediction,1,True
7,180,Mean_NRMSE,0.6128517686301209,0.6701611364533786,0.057309367823257684,11,1,Prediction,1,True
8,180,Mean_NRMSE,0.5896934395255449,0.6314136831906125,0.04172024366506766,9,3,Prediction,1,True
10,180,Mean_NRMSE,0.5696008034178125,0.6375580656944161,0.06795726227660359,7,2,Prediction,1,True
11,180,Mean_NRMSE,0.6145820631046521,0.6387587673388075,0.02417670423415541,5,6,Prediction,1,True
12,180,Mean_NRMSE,0.5920824148755961,0.6245534314191161,0.032471016543520026,5,10,Prediction,1,True
14,180,Mean_NRMSE,0.6522771545801467,0.6839958430713436,0.03171868849119697,9,4,Prediction,1,True
15,180,Mean_NRMSE,0.6312440462875882,0.7027207312540155,0.07147668496642723,7,1,Prediction,1,True
17,180,Mean_NRMSE,0.6441338796733613,0.5960978034096258,-0.04803607626373552,9,4,Prediction,1,False
18,180,Mean_NRMSE,0.5993007172449419,0.6499252631288049,0.050624545883863004,5,6,Prediction,1,True
19,180,Mean_NRMSE,0.5453567428607209,0.6245725810487401,0.07921583818801925,9,2,Prediction,1,True
21,180,Mean_NRMSE,0.6927225281786942,0.6793131550044285,-0.013409373174265715,7,4,Prediction,1,False
22,180,Mean_NRMSE,0.5918958896662403,0.6294423163293423,0.03754642666310204,8,3,Prediction,1,True
23,180,Mean_NRMSE,0.659426333145457,0.6725433734581782,0.013117040312721207,15,1,Prediction,1,True
25,180,Mean_NRMSE,0.5883238383949908,0.6306674949303085,0.042343656535317686,6,4,Prediction,1,True
1,60,DET,0.9191743526392172,0.9390959137411996,0.0199215611019824,24,7,RQA,-1,False
4,60,DET,0.6958295340020156,0.7143062820943514,0.018476748092335793,29,17,RQA,-1,False
5,60,DET,0.720497192494121,0.6980371454623986,-0.02246004703172244,33,16,RQA,-1,True
6,60,DET,0.7134904256850795,0.6986610356577242,-0.014829390027355283,31,17,RQA,-1,True
7,60,DET,0.7098910591735854,0.6696261457983395,-0.04026491337524596,34,11,RQA,-1,True
8,60,DET,0.720329222056918,0.713538417238566,-0.006790804818351925,36,10,RQA,-1,True
10,60,DET,0.7545711954695974,0.7174257330709795,-0.037145462398617934,27,9,RQA,-1,True
11,60,DET,0.7275519508566493,0.6974612468205595,-0.03009070403608971,20,18,RQA,-1,True
12,60,DET,0.6341727137296362,0.6651929453601807,0.03102023163054446,20,35,RQA,-1,False
14,60,DET,0.7019244612948121,0.6618515141335125,-0.04007294716129961,31,17,RQA,-1,True
15,60,DET,0.7117387339828191,0.7027163219273408,-0.009022412055478268,28,6,RQA,-1,True
17,60,DET,0.7192254163267265,0.7080193885876086,-0.01120602773911794,28,14,RQA,-1,True
18,60,DET,0.6945817536113644,0.6407352305994145,-0.05384652301194992,19,21,RQA,-1,True
19,60,DET,0.6854153668954264,0.6322407256322887,-0.053174641263137645,34,10,RQA,-1,True
21,60,DET,0.6248500263953544,0.5892882852617939,-0.035561741133560476,25,15,RQA,-1,True
22,60,DET,0.7383500503911311,0.703556174113356,-0.03479387627777508,29,13,RQA,-1,True
23,60,DET,0.7085472956759611,0.7015405288669194,-0.007006766809041665,49,13,RQA,-1,True
25,60,DET,0.7424773239909775,0.6899265729231655,-0.05255075106781204,27,15,RQA,-1,True
1,120,DET,0.9198504444258526,0.9350829566075348,0.0152325121816822,11,1,RQA,-1,False
4,120,DET,0.6865818165018941,0.7017924789799501,0.015210662478056025,13,7,RQA,-1,False
5,120,DET,0.701189954063849,0.6763001777428961,-0.024889776320952905,14,8,RQA,-1,True
6,120,DET,0.708941605839416,0.693846438140996,-0.015095167698420009,14,7,RQA,-1,True
7,120,DET,0.7090686500970156,0.667086297699344,-0.04198235239767156,17,5,RQA,-1,True
8,120,DET,0.7190704980134898,0.6997020234685393,-0.019368474544950498,17,5,RQA,-1,True
10,120,DET,0.7559497703192447,0.7180582165693312,-0.03789155374991349,12,4,RQA,-1,True
11,120,DET,0.7195093781761065,0.702167837013767,-0.017341541162339547,9,8,RQA,-1,True
12,120,DET,0.6148422341310174,0.6582047491453387,0.04336251501432131,8,16,RQA,-1,False
14,120,DET,0.6889725584403585,0.6275177861960639,-0.06145477224429463,16,7,RQA,-1,True
15,120,DET,0.7184814746373464,0.6946549015984478,-0.02382657303889857,12,3,RQA,-1,True
17,120,DET,0.7150397302041948,0.7033170100711448,-0.01172272013304998,14,5,RQA,-1,True
18,120,DET,0.6933819625585744,0.6366773620184207,-0.05670460054015369,8,10,RQA,-1,True
19,120,DET,0.6740957041619537,0.6252337203665659,-0.048861983795387864,15,4,RQA,-1,True
21,120,DET,0.6280383647653562,0.562798642690612,-0.06523972207474427,12,7,RQA,-1,True
22,120,DET,0.7374714341774198,0.7166616652431845,-0.02080976893423525,13,6,RQA,-1,True
23,120,DET,0.7066203457907251,0.6900348560744212,-0.016585489716303914,22,4,RQA,-1,True
25,120,DET,0.7417187968883452,0.6416172295191709,-0.1001015673691743,12,7,RQA,-1,True
1,180,DET,0.9149291598565346,0.9367433157314368,0.021814155874902208,6,1,RQA,-1,False
4,180,DET,0.6828191265663082,0.702324190941381,0.019505064375072823,8,5,RQA,-1,False
5,180,DET,0.6921806864626964,0.6961564369172487,0.00397575045455234,9,3,RQA,-1,False
6,180,DET,0.7011942703398375,0.6882837874127858,-0.012910482927051659,8,5,RQA,-1,True
7,180,DET,0.708840235307232,0.655779569211437,-0.05306066609579496,11,1,RQA,-1,True
8,180,DET,0.7094685319645925,0.6886080695585203,-0.0208604624060722,9,3,RQA,-1,True
10,180,DET,0.7460331126834037,0.7049638637203908,-0.041069248963012894,7,2,RQA,-1,True
11,180,DET,0.7281046215272675,0.6909287136639322,-0.037175907863335356,5,6,RQA,-1,True
12,180,DET,0.6087849140771532,0.6521518730673697,0.043366958990216475,5,10,RQA,-1,False
14,180,DET,0.7011081328948768,0.6441839490471678,-0.05692418384770903,9,4,RQA,-1,True
15,180,DET,0.7222067400017228,0.6892870353011518,-0.03291970470057104,7,1,RQA,-1,True
17,180,DET,0.7143124965165004,0.7112850186715579,-0.0030274778449425055,9,4,RQA,-1,True
