session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,294,111.4404048753794,15.552581121563758,-132.69210855890503
sample_1,7,Awake,295,100.35578160828312,-5.528411061006161,-154.04340990026188
sample_1,7,Awake,296,95.01687931417918,-26.090693525935507,-177.3534230702296
sample_1,7,Awake,297,91.4072155230483,-45.53516313839236,-203.25506383522247
sample_1,7,Awake,298,85.03848766786987,-63.210236273065846,-232.1575199070733
sample_1,7,Awake,299,73.40594890935589,-79.5092544270756,-259.6991799782657
sample_1,7,Awake,300,56.67313911143348,-95.78488045520156,-271.8257384143752
sample_1,7,Awake,301,36.700048060930165,-113.30051715323594,-248.2816051554919
sample_1,7,Awake,302,15.552581121563758,-132.69210855890503,-177.8591434153208
sample_1,7,Awake,303,-5.528411061006161,-154.04340990026188,-72.68041998554502
sample_1,7,Awake,304,-26.090693525935507,-177.3534230702296,36.345362601405725
sample_1,7,Awake,305,-45.53516313839236,-203.25506383522247,120.1338587882711
sample_1,7,Awake,306,-63.210236273065846,-232.1575199070733,167.1273612307456
sample_1,7,Awake,307,-79.5092544270756,-259.6991799782657,183.02559641030567
sample_1,7,Awake,308,-95.78488045520156,-271.8257384143752,181.1645043326997
sample_1,7,Awake,309,-113.30051715323594,-248.2816051554919,173.5691164125305
sample_1,7,Awake,310,-132.69210855890503,-177.8591434153208,166.39842054277835
sample_1,7,Awake,311,-154.04340990026188,-72.68041998554502,159.3921038582306
sample_1,7,Awake,312,-177.3534230702296,36.345362601405725,149.19218623282808
sample_1,7,Awake,313,-203.25506383522247,120.1338587882711,134.62316997850127
sample_1,7,Awake,314,-232.1575199070733,167.1273612307456,118.99699974032194
sample_1,7,Awake,315,-259.6991799782657,183.02559641030567,107.34994213344775
sample_1,7,Awake,316,-271.8257384143752,181.1645043326997,102.2879345522296
sample_1,7,Awake,317,-248.2816051554919,173.5691164125305,102.20674124442922
sample_1,7,Awake,318,-177.8591434153208,166.39842054277835,102.3191763819414
sample_1,7,Awake,319,-72.68041998554502,159.3921038582306,97.54272834303325
sample_1,7,Awake,320,36.345362601405725,149.19218623282808,85.33646176697351
sample_1,7,Awake,321,120.1338587882711,134.62316997850127,66.41321842599513
sample_1,7,Awake,322,167.1273612307456,118.99699974032194,43.331406895898425
sample_1,7,Awake,323,183.02559641030567,107.34994213344775,18.68960738544205
sample_1,7,Awake,324,181.1645043326997,102.2879345522296,-5.6312800448325415
sample_1,7,Awake,325,173.5691164125305,102.20674124442922,-28.38841420631268
sample_1,7,Awake,326,166.39842054277835,102.3191763819414,-49.23503376422802
sample_1,7,Awake,327,159.3921038582306,97.54272834303325,-69.00597574295102
sample_1,7,Awake,328,149.19218623282808,85.33646176697351,-88.899103322978
sample_1,7,Awake,329,134.62316997850127,66.41321842599513,-109.43660266666843
sample_1,7,Awake,330,118.99699974032194,43.331406895898425,-130.5760332133232
sample_1,7,Awake,331,107.34994213344775,18.68960738544205,-152.5244059545284
sample_1,7,Awake,332,102.2879345522296,-5.6312800448325415,-176.47815048308837
sample_1,7,Awake,333,102.20674124442922,-28.38841420631268,-203.92788271342388
sample_1,7,Awake,334,102.3191763819414,-49.23503376422802,-232.9126829451935
