time_s,mean_log_distance,n_pairs,in_fit_region
3.6199999999967076,6.030371223458672,2618,False
3.6399999999966894,6.043699814502401,2617,False
3.6599999999966712,6.054855230446591,2615,False
3.679999999996653,6.057760758247796,2614,False
3.699999999996635,6.05655221836573,2613,False
3.7199999999966167,6.05110094903091,2612,False
3.7399999999965985,6.045247196669594,2611,False
3.7599999999965803,6.043025005288227,2610,False
3.779999999996562,6.048747135455142,2609,False
3.799999999996544,6.064513081650559,2607,False
3.8199999999965257,6.082918592909438,2607,False
3.8399999999965075,6.092675960912458,2606,False
3.8599999999964894,6.093997294988253,2605,False
3.879999999996471,6.088204989673882,2604,False
3.899999999996453,6.080786850025032,2603,False
3.919999999996435,6.0745173979330405,2602,False
3.9399999999964166,6.075812550383327,2601,False
3.9599999999963984,6.09034035944994,2599,False
3.97999999999638,6.1088914310395035,2597,False
3.999999999996362,6.119297139054658,2597,False
4.019999999996344,6.121550907508684,2596,False
4.039999999996326,6.11709015122609,2595,False
4.0599999999963075,6.108880065742966,2595,False
4.079999999996289,6.100080636789845,2593,False
4.099999999996271,6.096478304299296,2591,False
4.119999999996253,6.106965736748997,2589,False
4.139999999996235,6.124697592590855,2587,False
4.1599999999962165,6.1371745635637875,2586,False
4.179999999996198,6.142291808768509,2585,False
4.19999999999618,6.1412191724717085,2584,False
4.219999999996162,6.135711624163905,2583,False
4.239999999996144,6.129451512643619,2581,False
4.2599999999961256,6.125407350331465,2580,False
4.279999999996107,6.1329425181795765,2577,False
4.299999999996089,6.14472757866649,2575,False
4.319999999996071,6.153625928887949,2573,False
4.339999999996053,6.158553136891378,2572,False
4.359999999996035,6.157547687909324,2570,False
4.379999999996016,6.155720043913336,2570,False
4.399999999995998,6.15432225566683,2569,False
4.41999999999598,6.153395174606912,2566,False
4.439999999995962,6.157090693662059,2564,False
4.459999999995944,6.163869407665324,2562,False
4.4799999999959255,6.167919293663981,2561,False
4.499999999995907,6.16680052440577,2560,False
4.519999999995889,6.161672515086211,2560,False
4.539999999995871,6.163517776520912,2560,False
4.559999999995853,6.17176131619943,2559,False
4.5799999999958345,6.178950076407659,2555,False
4.599999999995816,6.1832701325356885,2554,False
4.619999999995798,6.188428838271062,2552,False
4.63999999999578,6.192480312356542,2551,False
4.659999999995762,6.189659485484696,2550,False
4.679999999995744,6.179191036431544,2550,False
4.699999999995725,6.175935179720825,2550,False
4.719999999995707,6.182656555606523,2549,False
4.739999999995689,6.189422356982473,2546,False
4.759999999995671,6.197097311226787,2545,False
4.779999999995653,6.203628141208764,2544,False
4.799999999995634,6.206350461345506,2542,False
4.819999999995616,6.201592293751673,2540,False
4.839999999995598,6.192369082393396,2538,False
4.85999999999558,6.1899470252691575,2536,False
4.879999999995562,6.194819307643552,2535,False
4.8999999999955435,6.199632743525537,2534,False
4.919999999995525,6.208064352541249,2533,False
4.939999999995507,6.214543415771439,2532,False
4.959999999995489,6.215345662278733,2529,False
4.979999999995471,6.211500735054837,2527,False
4.9999999999954525,6.207084318736928,2525,False
