session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_10.csv,5.0,60,Awake,Processed,27,27,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7513661202185792
sample_10.csv,5.0,60,Awake,Raw,27,27,100.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,7.0,2.413793103448276
sample_10.csv,5.0,60,Drowsy,Processed,9,9,100.0,4.0,0.0,4.0,3.8,4.0,4.0,4.0,4.0,3.0,4.0,0.684931506849315
sample_10.csv,5.0,60,Drowsy,Raw,8,8,100.0,4.0,0.25,4.0,4.0,4.0,4.0,4.25,5.0,4.0,5.0,2.282162011562304
sample_10.csv,5.0,120,Awake,Processed,12,12,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.724372142697566
sample_10.csv,5.0,120,Awake,Raw,12,12,100.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.9,4.0,6.0,2.261661957066679
sample_10.csv,5.0,120,Drowsy,Processed,4,4,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6911100319739842
sample_10.csv,5.0,120,Drowsy,Raw,4,4,100.0,5.0,0.25,5.0,4.3,4.75,5.0,5.0,5.0,4.0,5.0,2.6903344021988085
sample_10.csv,5.0,180,Awake,Processed,7,7,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7379248658318426
sample_10.csv,5.0,180,Awake,Raw,7,7,100.0,5.0,0.0,5.0,4.6,5.0,5.0,5.0,5.4,4.0,6.0,2.0202020202020203
sample_10.csv,5.0,180,Drowsy,Processed,2,2,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.816680092824666
sample_10.csv,5.0,180,Drowsy,Raw,2,2,100.0,4.5,0.5,4.0,4.1,4.25,4.5,4.75,4.9,4.0,5.0,2.292134831460674
sample_11.csv,1.0,60,Awake,Processed,20,8,40.0,5.5,1.0,5.0,5.0,5.0,5.5,6.0,6.3,5.0,7.0,1.019029263862121
sample_11.csv,1.0,60,Awake,Raw,20,1,5.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.389078498293516
sample_11.csv,1.0,60,Drowsy,Processed,18,9,50.0,6.0,1.0,6.0,5.8,6.0,6.0,7.0,8.4,5.0,10.0,0.9498902733592554
sample_11.csv,1.0,60,Drowsy,Raw,16,1,6.25,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.2603004820379295
sample_11.csv,1.0,120,Awake,Processed,9,5,55.55555555555556,7.0,1.0,7.0,5.4,6.0,7.0,7.0,7.6,5.0,8.0,0.9424436216762032
sample_11.csv,1.0,120,Awake,Raw,8,1,12.5,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.597840755735493
