scope,group_value,dimension,n_windows,median_fnn_pct,iqr_fnn_pct,q25_fnn_pct,q75_fnn_pct,q90_fnn_pct,median_delta_to_next,iqr_delta_to_next
window_size,60,2,1718,35.47955988988251,7.223671662738184,31.63538873994638,38.85906040268456,41.67785234899329,26.328501109861914,6.3964934681840475
window_size,60,3,1718,7.39247311827957,4.711139523221082,6.115591397849462,10.826730921070544,14.343434343434344,4.698957337043154,2.9000067758059282
window_size,60,4,1718,2.8301886792452837,1.9827506474287828,1.954177897574124,3.936928545002907,5.608108108108109,0.9410286297078748,0.9441597532019664
window_size,60,5,1718,1.7567567567567568,1.766376546037563,1.0810810810810811,2.847457627118644,4.0,0.3332390611667764,0.539797423724805
window_size,60,6,1718,1.4227642276422765,1.5582655826558267,0.8130081300813009,2.3712737127371275,3.4693877551020407,0.06648403292065463,0.40668817014257086
window_size,60,7,1718,1.2969283276450512,1.6983695652173916,0.6793478260869565,2.377717391304348,3.4129692832764507,0.0,0.34096967183982907
window_size,60,8,1718,1.2942779291553137,1.6443955059534918,0.6811989100817438,2.3255944160352358,3.1727445144450575,-0.06849213084974921,0.34332548893984427
window_size,60,9,1718,1.366120218579235,1.571038251366121,0.7513661202185792,2.3224043715847,3.2324621733149934,-0.07055168800059886,0.345085710008234
window_size,60,10,1718,1.5068493150684932,1.6551724137931034,0.7586206896551724,2.413793103448276,3.310344827586207,,
window_size,120,1,768,97.39652870493993,1.5036862818569574,96.45958583834336,97.96327212020032,98.29716193656094,52.26930731400715,7.235681230492759
window_size,120,2,768,44.6972231515557,6.219023950288587,41.47727272727273,47.696296677561314,50.40978907051609,33.16976414940181,6.065877534284837
window_size,120,3,768,9.63855421686747,4.752195786076754,8.467202141900938,13.219397927977692,16.852615400505655,6.591497562181679,3.1532751105742483
window_size,120,4,768,3.3858531679517267,1.8485713672161044,2.547770700636943,4.396342067853047,5.951661631419942,1.4064706155739637,0.9402432044976814
window_size,120,5,768,1.812080536912752,1.515101154718329,1.342281879194631,2.85738303391296,3.977404169468731,0.46739099680276175,0.43634607654315066
window_size,120,6,768,1.3131313131313131,1.3810291582466805,0.8750530515236398,2.2560822097703204,3.333670147075334,0.13311874733063872,0.3055882860882204
window_size,120,7,768,1.2113055181695829,1.4272516455400022,0.7402422611036339,2.167493906643636,3.2043715138150217,0.0644626498336448,0.29931020857877394
window_size,120,8,768,1.1472936536131684,1.353199282537477,0.7077856420626896,2.0609849246001666,2.950019637751982,-0.03473851537406647,0.267977009049685
window_size,120,9,768,1.2186865267433988,1.3893976071492,0.7087411407357408,2.0981387478849407,2.988861356364426,-0.03688765520183024,0.2713872779662252
window_size,120,10,768,1.32225804783006,1.459895406716653,0.7434944237918215,2.2033898305084745,2.984062394031876,,
window_size,180,1,456,98.13084102894453,1.5188400997399611,97.07960261438684,98.5984427141268,98.82091212458288,47.10184332858462,6.479930119570227
window_size,180,2,456,50.29506925705598,5.633060605639919,47.511418468269255,53.144479073909174,55.3129873022945,37.033573649649284,5.900989761316893
window_size,180,3,456,11.424428866510517,4.59587012317154,10.11755538976334,14.71342551293488,18.764632728581844,7.8974553462556125,3.19711986016551
window_size,180,4,456,3.791257805530776,1.970305138314072,2.9462648470142856,4.9165699853283575,6.5967147282556695,1.715000165936467,1.0470715861397366
window_size,180,5,456,1.8973214285714284,1.4376405375188155,1.4734609726341976,2.911101510153013,3.989718372820742,0.5893553234650546,0.35788143715037923
window_size,180,6,456,1.2969594387656245,1.2964574827527224,0.8938547486033519,2.1903122313560743,3.2442108024306644,0.1560699001312506,0.31028791055999927
window_size,180,7,456,1.140429338103757,1.2747112778874312,0.7602862254025045,2.0349975032899357,3.0017921146953404,0.0876851873189195,0.22386534157933022
window_size,180,8,456,1.1081262592343855,1.1536368847382046,0.693978061338706,1.8476149460769107,2.825426381068369,-0.023173551146664584,0.20110998756000747
window_size,180,9,456,1.1651355590410035,1.1961515963846006,0.6944444444444444,1.890596040829045,2.7051284183450024,-0.02526828979998852,0.22442667452330348
window_size,180,10,456,1.2558869701726845,1.2423964093574238,0.7176094702405675,1.9600058795979913,2.7949179918911633,,
